"Glottocode","Family","InventoryID","Phonemes","Nonlabiodental.phonemes","Fricatives","Nonlabiodental.Fricatives","Labiodentals","Subsistence.AUTOTYP","Subsistence.TOM","Area","Latitude","Longitude","has.labiodentals"
"aari1239","South Omotic [sout2845]",1483,36,35,6,5,1,NA,"AGR","Africa",5.95034,36.5721,TRUE
"abar1238","Atlantic-Congo [atla1278]",1617,36,35,4,3,1,NA,"AGR","Africa",6.5805,10.2267,TRUE
"abau1245","Sepik [sepi1257]",1160,14,14,2,2,0,"AGR","HG","Papua",-3.97222,141.324,FALSE
"abid1235","Atlantic-Congo [atla1278]",1526,38,37,3,2,1,NA,"AGR","Africa",5.65656,-4.58421,TRUE
"abip1241","Guaicuruan [guai1249]",1914,23,23,3,3,0,"HG","HG","S America",-29,-61,FALSE
"abis1238","Aewa [abis1238][ash]",1923,27,27,3,3,0,NA,"HG","S America",-0.69386,-75.2183,FALSE
"abkh1244","Abkhaz-Adyge [abkh1242]",2468,62,59,NA,NA,3,"AGR","AGR","W and SW Eurasia",43.056218,41.159115,TRUE
"abua1244","Atlantic-Congo [atla1278]",1297,40,38,7,5,2,NA,"AGR","Africa",4.83057,6.61492,TRUE
"abur1243","Atlantic-Congo [atla1278]",1521,38,36,4,2,2,NA,"AGR","Africa",5.21534,-3.64123,TRUE
"acat1239","Otomanguean [otom1299]",587,30,30,4,4,0,NA,"AGR","C America",17.1034,-99.0602,FALSE
"acha1249","Sino-Tibetan [sino1245]",2548,59,58,NA,NA,1,NA,"AGR","S/SE Asia",24.3479,97.7438,TRUE
"acha1250","Arawakan [araw1281]",1803,29,29,4,4,0,NA,"AGR","S America",4.38649,-72.2005,FALSE
"ache1245","Narrow Talodi [narr1279]",1428,38,38,1,1,0,NA,"AGR","Africa",10.8827,30.3187,FALSE
"ache1246","Tupian [tupi1275]",2068,34,33,3,2,1,"HG","HG","S America",-25.5865,-56.4697,TRUE
"achi1257","Austronesian [aust1307]",1093,55,54,4,3,1,NA,"AGR","S/SE Asia",3.90757,96.6032,TRUE
"achu1247","Palaihnihan [pala1350]",199,23,23,5,5,0,"HG","HG","N America",41.0979,-121.191,FALSE
"achu1248","Jivaroan [jiva1245]",1946,27,27,3,3,0,NA,"AGR","S America",-2.82646,-77.2641,FALSE
"acol1236","Nilotic [nilo1247]",1433,29,29,0,0,0,NA,"AGR","Africa",3.57738,32.5147,FALSE
"adam1253","Atlantic-Congo [atla1278]",1234,36,36,4,4,0,"AGR","AGR","Africa",8.140326,13.077338,FALSE
"adan1247","Atlantic-Congo [atla1278]",692,39,37,5,3,2,NA,"AGR","Africa",5.9437,0.13243,TRUE
"adan1251","Timor-Alor-Pantar [timo1261]",1090,40,39,3,2,1,NA,"AGR","Pacific",-8.18958,124.448,TRUE
"adio1239","Atlantic-Congo [atla1278]",1527,32,31,3,2,1,NA,"AGR","Africa",5.38228,-4.52522,TRUE
"adny1235","Pama-Nyungan [pama1250]",2931,27,27,NA,NA,0,"HG","HG","Australia",-30.1451,138.671,FALSE
"adyg1241","Abkhaz-Adyge [abkh1242]",2349,59,58,NA,NA,1,NA,"AGR","W and SW Eurasia",44,39.33,TRUE
"adze1240","Austronesian [aust1307]",41,25,24,3,2,1,NA,"AGR","Papua",-6.39394,146.294,TRUE
"afad1236","Afro-Asiatic [afro1255]",198,36,34,5,4,2,NA,"AGR","Africa",12.0551,14.6343,TRUE
"afar1241","Afro-Asiatic [afro1255]",1342,27,26,5,4,1,NA,"AGR","Africa",12.2281,41.8083,TRUE
"afit1238","Nyimang [nyim1244]",1295,26,25,2,1,1,NA,"AGR","Africa",12.446,30.7611,TRUE
"aghe1239","Atlantic-Congo [atla1278]",1524,49,45,5,3,4,NA,"AGR","Africa",6.38956,10.0807,TRUE
"aghu1254","Pama-Nyungan [pama1250]",2880,27,27,NA,NA,0,NA,"HG","Australia",-13.735,142.426,FALSE
"agua1253","Jivaroan [jiva1245]",1947,20,20,3,3,0,NA,"AGR","S America",-5.30044,-77.9218,FALSE
"ahan1243","Atlantic-Congo [atla1278]",1400,40,39,5,4,1,NA,"AGR","Africa",4.85147,-1.94657,TRUE
"ahan1244","Atlantic-Congo [atla1278]",1544,43,41,7,5,2,NA,"AGR","Africa",7.44139,6.00896,TRUE
"aheu1239","Austroasiatic [aust1305]",1014,72,71,3,2,1,NA,"AGR","S/SE Asia",17.7655,104.229,TRUE
"ahte1237","Athapaskan-Eyak-Tlingit [atha1245]",206,35,35,8,8,0,"HG","HG","N America",61.7068,-144.889,FALSE
"aika1237","Aikanã [aika1237][tba]",2118,25,25,1,1,0,"AGR","HG","S America",-12.6695,-60.5353,FALSE
"ainu1240","Ainu [ainu1252]",196,17,17,2,2,0,"HG","HG","N-C Asia",43.633654,142.46167,FALSE
"ajab1235","Atlantic-Congo [atla1278]",651,45,43,9,7,2,NA,"AGR","Africa",7.06634,1.64992,TRUE
"ajas1235","Kresh-Aja [kres1240]",1250,48,45,11,9,3,NA,"AGR","Africa",8.58003,25.6122,TRUE
"ajyi1238","Arawakan [araw1281]",1807,26,25,NA,NA,1,NA,"AGR","S America",-9.82364,-74.61947,TRUE
"akan1250","Atlantic-Congo [atla1278]",1245,60,59,6,5,1,NA,"AGR","Africa",6.34756,-1.33254,TRUE
"akas1242","Atlantic-Congo [atla1278]",1572,52,51,2,1,1,NA,"AGR","Africa",8.8858,1.37035,TRUE
"akaw1239","Cariban [cari1283]",1873,21,21,1,1,0,"AGR","HG","S America",6.16277,-60.862,FALSE
"akha1245","Sino-Tibetan [sino1245]",1162,41,41,5,5,0,NA,"AGR","S/SE Asia",21.2309,100.964,FALSE
"akla1241","Austronesian [aust1307]",1095,20,20,3,3,0,NA,"AGR","S/SE Asia",11.5543,122.354,FALSE
"akoo1248","Atlantic-Congo [atla1278]",1554,32,32,3,3,0,NA,"AGR","Africa",4.9243,9.65522,FALSE
"akpe1248","Atlantic-Congo [atla1278]",1532,34,33,5,4,1,NA,"AGR","Africa",7.50256,5.95559,TRUE
"akun1241","Tupian [tupi1275]",2069,22,22,0,0,0,NA,"AGR","S America",-12.8322,-60.9716,FALSE
"akur1238","Cariban [cari1283]",1862,24,24,0,0,0,NA,"HG","S America",3.19607,-55.6294,FALSE
