glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
abkh1244	43.06	41.16	41.16	181.491684704185	40.1134684650378	126.318181818182	179.333333333333	138.181818181818	116.772727272727	144.545454545455	177.318181818182	208.590909090909	215.285714285714	218.45	220.809523809524	218.818181818182	213.47619047619
abkh1244	42.999497	41.017252	41.017252	181.155104617605	40.0618477606393	125.318181818182	178.047619047619	139.454545454545	117.363636363636	143.318181818182	176.545454545455	206.590909090909	216.095238095238	218.95	220.761904761905	218.272727272727	213.142857142857
abui1241	-8.31058	124.588	124.588	226.055844155844	6.17979256600545	220.5	224.238095238095	233.5	220.772727272727	221.363636363636	233.590909090909	231.090909090909	215.333333333333	223.8	224.666666666667	229.909090909091	233.904761904762
abui1241	-8.236	124.6783	124.6783	226.055844155844	6.17979256600545	220.5	224.238095238095	233.5	220.772727272727	221.363636363636	233.590909090909	231.090909090909	215.333333333333	223.8	224.666666666667	229.909090909091	233.904761904762
abui1241	-8.1887	124.6264	124.6264	226.055844155844	6.17979256600545	220.5	224.238095238095	233.5	220.772727272727	221.363636363636	233.590909090909	231.090909090909	215.333333333333	223.8	224.666666666667	229.909090909091	233.904761904762
abui1241	-8.403792	124.623702	124.623702	226.055844155844	6.17979256600545	220.5	224.238095238095	233.5	220.772727272727	221.363636363636	233.590909090909	231.090909090909	215.333333333333	223.8	224.666666666667	229.909090909091	233.904761904762
abui1241	-8.334706	124.715864	124.715864	226.055844155844	6.17979256600545	220.5	224.238095238095	233.5	220.772727272727	221.363636363636	233.590909090909	231.090909090909	215.333333333333	223.8	224.666666666667	229.909090909091	233.904761904762
acha1249	24.466605	97.89503	97.89503	214.612788600289	6.29626024465856	206.409090909091	219	216.727272727273	204.818181818182	220.136363636364	204.590909090909	216.727272727273	213.761904761905	220.65	219.190476190476	211.818181818182	221.52380952381
ache1246	-25.5865	303.5303	-56.4697	216.059361471861	12.8843567150838	230.863636363636	222.809523809524	226.454545454545	219.045454545455	228.363636363636	224.818181818182	217.545454545455	201.380952380952	187.55	202.761904761905	213.5	217.619047619048
adan1251	-8.1837	124.4979	124.4979	226.055844155844	6.17979256600545	220.5	224.238095238095	233.5	220.772727272727	221.363636363636	233.590909090909	231.090909090909	215.333333333333	223.8	224.666666666667	229.909090909091	233.904761904762
