glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
abkh1244	43.06	41.16	41.16	5868	8507	11650	15580	18873	20658	19511	18556	14316	10455	6728	5152	5681.44440394795	12987.8333333333
abkh1244	42.999497	41.017252	41.017252	5883	8519	11607	15616	19183	21534	20294	18890	14311	10450	6709	5197	5929.52609059872	13182.75
abui1241	-8.31058	124.588	124.588	16603	16563	18811	18592	17101	16605	16670	19902	22414	22939	21420	19461	2347.94205667754	18923.4166666667
abui1241	-8.236	124.6783	124.6783	17055	17103	19314	18999	17452	16921	17134	20440	22963	23610	22306	19806	2451.7344927066	19425.25
abui1241	-8.1887	124.6264	124.6264	17729	17801	19955	19503	17877	17274	17757	20804	23252	24078	23118	20521	2431.75149965218	19972.4166666667
abui1241	-8.403792	124.623702	124.623702	16979	17205	19462	19290	17716	17124	17501	20805	23100	23805	22438	19953	2456.28887971388	19614.8333333333
abui1241	-8.334706	124.715864	124.715864	16783	16997	19326	19111	17536	17015	17245	20614	23030	23654	22265	19831	2479.54055342126	19450.5833333333
acha1249	24.466605	97.89503	97.89503	15222	17842	20438	20969	19575	16065	14176	15062	16021	14739	14908	13916	2495.40057360081	16577.75
ache1246	-25.5865	303.5303	-56.4697	20955	20739	17991	14694	12373	10377	11583	13874	15324	18792	21271	21340	4062.8863778965	16609.4166666667
adan1251	-8.1837	124.4979	124.4979	17296	17386	19540	19246	17683	17064	17220	20270	22462	23352	22248	20056	2254.06683473551	19485.25
adon1237	-8.3757	123.2375	123.2375	17738	18416	20004	20083	18304	17637	18077	21068	23331	23916	22688	20228	2224.94697927974	20124.1666666667
adyg1241	44.65	40	40	5129	7879	11186	15209	18959	21247	20866	18726	13543	9480	5801	4366	6270.44061269005	12699.25
adyg1241	44.018006	39.420799	39.420799	5326	8066	11212	15225	18722	21121	21003	18959	13990	9956	6279	4680	6135.54632856765	12878.25
aghu1253	41.92	47.58	47.58	6241	9118	12171	16104	19319	21838	22419	19639	15813	10834	7331	5608	6121.64265623256	13869.5833333333
aghu1253	41.9242	47.5843	47.5843	6097	8828	12019	16011	19186	21807	22396	19573	15806	10863	7312	5547	6144.55724358533	13787.0833333333
agua1253	-5.30044	282.0782	-77.9218	12755	12748	12828	13344	10916	10877	11826	14275	15052	15232	14102	12388	1442.76271962909	13028.5833333333
ainu1240	43.63	142.46	142.46	5746	9197	13068	15530	17682	17646	16703	14936	12898	9519	5596	4502	4857.84309523052	11918.5833333333
ainu1240	43.63	142.46	142.46	5746	9197	13068	15530	17682	17646	16703	14936	12898	9519	5596	4502	4857.84309523052	11918.5833333333
akhv1239	42.4003	46.3037	46.3037	6206	8990	12304	16166	19216	21783	22001	19540	15992	10795	7122	5465	6103.71733727352	13798.3333333333
akhv1239	42.4003	46.3037	46.3037	6206	8990	12304	16166	19216	21783	22001	19540	15992	10795	7122	5465	6103.71733727352	13798.3333333333
alba1267	41.33	19.85	19.85	6369	8995	12868	17173	20966	23914	25318	22582	17043	11478	7033	5326	7213.54020333647	14922.0833333333
aleu1260	52.12	185.71	-174.29	2203	3893	7312	10087	11202	10990	9389	8600	7778	5264	2842	1802	3457.31140505381	6780.16666666667
aleu1260	52.12	185.71	-174.29	2203	3893	7312	10087	11202	10990	9389	8600	7778	5264	2842	1802	3457.31140505381	6780.16666666667
alor1247	-8.2222047	124.4084444	124.4084444	18128	18351	20339	19911	18215	17626	18144	21041	23291	24026	23130	20792	2264.61843063321	20249.5
alor1247	-8.176126	124.285994	124.285994	17929	18226	20198	19838	18172	17506	18044	20880	23283	24265	23267	20586	2359.64912003818	20182.8333333333
alor1247	-8.3613	124.0939	124.0939	18021	18387	20394	20211	18491	17828	18444	21148	23193	23859	22900	20654	2139.20354054465	20294.1666666667
alor1247	-8.361888	124.094494	124.094494	18021	18387	20394	20211	18491	17828	18444	21148	23193	23859	22900	20654	2139.20354054465	20294.1666666667
alor1247	-8.310903	124.031987	124.031987	17993	18327	20314	20045	18348	17669	18066	20803	23230	24270	23347	20704	2316.54391216089	20259.6666666667
alor1247	-8.182806	124.375247	124.375247	18189	18399	20482	20075	18366	17741	18400	21210	23563	24388	23690	20926	2371.13181483724	20452.4166666667
alor1247	-8.252034	124.450591	124.450591	18036	18274	20308	19913	18240	17599	18134	21095	23387	24186	23345	20896	2345.16289251392	20284.4166666667
alor1247	-8.208019	124.28722	124.28722	17929	18226	20198	19838	18172	17506	18044	20880	23283	24265	23267	20586	2359.64912003818	20182.8333333333
alor1247	-8.271256	124.411719	124.411719	18159	18422	20513	20026	18346	17776	18487	21389	23690	24496	23629	21084	2396.99396814705	20501.4166666667
alor1247	-8.348647	123.966102	123.966102	17883	18206	20131	19952	18280	17592	17961	20502	22739	23589	22659	20446	2100.60419879615	19995
alor1247	-8.1927045	124.3070337	124.3070337	17885	18198	20267	19902	18230	17600	18167	21010	23391	24212	23026	20507	2320.8493530811	20199.5833333333
alor1247	-8.21559	124.2643342	124.2643342	17426	17650	19750	19531	17937	17360	17726	20596	22986	23788	22617	20186	2312.64781181985	19796.0833333333
alor1247	-8.210253	124.376706	124.376706	18128	18351	20339	19911	18215	17626	18144	21041	23291	24026	23130	20792	2264.61843063321	20249.5
alor1247	-8.218032	124.229612	124.229612	18125	18314	20299	19931	18256	17639	18120	20935	23354	24223	23417	20760	2332.87386006395	20281.0833333333
amba1266	-11.2958	166.498	166.498	20696	20510	19895	18660	16755	15389	15734	17423	19655	20857	20821	21092	2107.43748424479	18957.25
anci1242	39.8155	21.9129	21.9129	6272	8880	12757	17428	20439	23119	23949	21453	16707	11068	7376	5547	6779.35948246029	14582.9166666667
anci1242	37.696861	23.999205	23.999205	6763	9395	13340	18283	22311	25336	25118	22756	18148	12039	7980	6100	7248.85344068601	15630.75
andi1255	42.81	46.29	46.29	6011	8869	12101	16131	19314	21971	22216	19510	15689	10574	6779	5221	6257.01279051003	13698.8333333333
andi1255	42.8078	46.2919	46.2919	6072	8857	12096	16144	19350	21979	22105	19531	15660	10572	6777	5234	6241.52470385145	13698.0833333333
anut1237	-11.61	169.85	169.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apat1240	27.12	93.44	93.44	13875	15128	17841	19238	18993	16815	16423	16424	15714	15739	14529	13512	1839.46718858445	16185.9166666667
arao1248	-12.4242	292.2707	-67.7293	12748	14393	13048	12264	13946	13468	14576	16028	16234	16294	15344	14312	1372.57465161004	14387.9166666667
arch1244	42	46.8333	46.8333	6613	9438	12569	16241	19142	22177	22477	19849	16365	10931	7415	5928	6069.63695871558	14095.4166666667
arch1244	42.3239	46.8267	46.8267	6508	9308	12256	16201	19346	22055	22335	19593	15861	10742	7211	5628	6108.34085989036	13920.3333333333
area1240	-9.20699	161.158	161.158	20328	20008	20007	19354	18026	16586	16473	17575	19853	20691	20240	20010	1511.94723683391	19095.9166666667
aros1241	-10.2441	161.432	161.432	20862	20386	20338	19446	17865	16663	17136	18376	20826	21617	21434	21157	1739.25880242653	19675.5
asum1237	-11.2969	166.499	166.499	20696	20510	19895	18660	16755	15389	15734	17423	19655	20857	20821	21092	2107.43748424479	18957.25
atim1239	-8.226	124.6683	124.6683	17055	17103	19314	18999	17452	16921	17134	20440	22963	23610	22306	19806	2451.7344927066	19425.25
avar1256	41.7	46.56	46.56	6058	8685	11759	16035	19640	22181	22978	19845	15321	10241	6848	5362	6430.48387064349	13746.0833333333
avar1256	41.7047	46.558	46.558	6058	8685	11759	16035	19640	22181	22978	19845	15321	10241	6848	5362	6430.48387064349	13746.0833333333
axiy1235	27.16	105.61	105.61	7495	9230	12480	15255	15542	15308	17088	17449	14130	9981	8736	7235	3776.77212970242	12494.0833333333
ayor1240	-19.220055	299.782505	-60.217495	17246	16767	15624	15827	13110	12659	13656	15038	16483	17976	18044	16771	1821.67870258576	15766.75
baba1268	-7.22281	157.149	157.149	19604	19502	19903	19756	19069	17687	17629	18240	20441	20570	19958	19254	982.833700751726	19301.0833333333
baba1268	-7.22281	157.149	157.149	19604	19502	19903	19756	19069	17687	17629	18240	20441	20570	19958	19254	982.833700751726	19301.0833333333
baeg1237	-8.49014	160.771	160.771	19400	19168	19393	19134	18069	16614	16494	17514	19716	20295	19490	19165	1236.43911979915	18704.3333333333
bael1237	-8.41627	160.721	160.721	20072	19791	20011	19586	18392	17123	17317	18322	20481	20897	20306	20096	1258.25397301422	19366.1666666667
bagv1239	42.3966	46.1041	46.1041	6459	9286	12444	16224	19174	21980	22519	19879	16164	10887	7163	5638	6142.85212295929	13984.75
baka1276	-8.2634	124.2972	124.2972	17807	18011	20178	19955	18280	17701	18248	21146	23581	24444	23385	20634	2429.21928473601	20280.8333333333
bash1264	53.6	56.56	56.56	3043	6294	11129	15713	20436	22581	21167	16702	11018	6033	3099	2180	7550.19620605981	11616.25
basq1248	43.28	358.68	-1.32	5161	8247	12275	16079	18640	20349	20531	18487	14351	9677	6009	4353	6052.17546850016	12846.5833333333
basq1248	43.2787	358.68378	-1.31622	5161	8247	12275	16079	18640	20349	20531	18487	14351	9677	6009	4353	6052.17546850016	12846.5833333333
bata1314	9.68091	12.677	12.677	18600	20131	19940	19522	19254	18534	16522	15237	16968	18777	19138	18773	1470.69849411974	18449.6666666667
bats1242	42.1806	45.344	45.344	6109	8670	12064	16034	19342	21965	22121	19442	15260	10277	6793	5295	6233.97993891446	13614.3333333333
batu1258	-5.735916	134.812861	134.812861	18736	19139	19447	18368	16895	15515	15063	16414	18056	20120	20308	18945	1738.31040398603	18083.8333333333
baur1252	-10.5826	161.863	161.863	20448	20028	19865	19077	17488	16019	16173	17638	20048	20950	20623	20532	1777.20968519517	19074.0833333333
bela1254	53.23	25.6	25.6	2400	4999	9448	13540	18674	20277	19419	16169	10412	5737	2405	1586	7057.67840831187	10422.1666666667
