glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
abkh1244	43.06	41.16	133	88	32	6398	272	5	267	107	56	214	52	1414	134	99	9	384	318	365	345	-1.47364510013066	2.08882654084256	-1.21497431500184	41.16
abkh1244	42.999497	41.017252	145	85	32	6337	281	19	262	120	203	226	65	1471	145	97	10	412	330	362	375	-0.864038708775436	1.83397726677693	-1.46982687754682	41.017252
abui1241	-8.31058	124.588	216	72	69	748	266	162	104	220	205	224	205	1573	280	13	77	830	66	498	66	1.65486745679505	-0.233855649721507	0.553145114485484	124.588
abui1241	-8.236	124.6783	243	72	70	682	291	189	102	246	233	250	233	1327	246	9	79	705	47	598	47	1.98995485358304	-0.823470632060055	0.263000543985799	124.6783
abui1241	-8.1887	124.6264	245	72	70	686	293	191	102	248	235	252	235	1314	246	8	79	699	44	591	44	2.0080156228015	-0.880710925761464	0.236629214781776	124.6264
abui1241	-8.403792	124.623702	232	72	69	730	280	177	103	235	221	239	221	1425	265	10	80	767	50	660	50	1.91199688924789	-0.540191341122733	0.60045134937169	124.623702
abui1241	-8.334706	124.715864	247	72	70	723	294	192	102	250	236	254	236	1289	249	8	81	700	40	590	40	2.02859237504399	-0.944709037175488	0.263575183450823	124.715864
acha1249	24.466605	97.89503	167	116	49	4029	253	18	235	208	107	208	107	1669	350	13	86	962	55	962	55	0.272521927355458	0.029777641430884	2.50093317906893	97.89503
ache1246	-25.5865	303.5303	222	109	53	3514	323	119	204	246	177	266	177	1523	171	72	24	464	249	425	249	0.943305632611118	0.0636619051850849	-1.3043947304379	-56.4697
adan1251	-8.1837	124.4979	249	73	71	687	296	194	102	252	238	256	238	1280	247	6	82	688	36	575	36	2.04568080719827	-1.04074417800934	0.223120798194057	124.4979
adon1237	-8.3757	123.2375	253	84	74	634	305	192	113	254	243	260	243	1263	263	7	86	701	33	567	33	2.14618524025738	-1.30636370889063	0.277032847243717	123.2375
adyg1241	44.65	40	116	91	30	7715	277	-26	303	195	58	215	18	806	93	40	19	241	151	231	174	-2.41004322043651	0.621870671938656	-1.03098131148194	40
adyg1241	44.018006	39.420799	102	85	31	6650	246	-23	269	37	47	188	19	1151	124	84	14	350	257	278	325	-2.38721252312262	2.25524424993815	-1.12708551491917	39.420799
aghu1253	41.92	47.58	48	91	29	7379	207	-99	306	121	-48	140	-48	582	96	14	53	252	50	218	50	-4.05939834744296	0.948771841032162	0.191765212997296	47.58
aghu1253	41.9242	47.5843	35	93	30	7304	194	-112	306	108	-59	126	-59	583	97	14	55	256	50	220	50	-4.27449270552624	1.12175400779884	0.315235924810836	47.5843
agua1253	-5.30044	282.0782	208	102	81	450	272	147	125	207	203	214	202	1609	162	102	13	472	343	394	364	1.64571432382812	1.28392735917243	-1.91318823247701	-77.9218
ainu1240	43.63	142.46	60	96	24	10628	255	-140	395	151	-25	191	-78	1115	148	56	33	409	176	339	212	-3.55537669370231	1.48790728348901	0.210932965527392	142.46
ainu1240	43.63	142.46	60	96	24	10628	255	-140	395	151	-25	191	-78	1115	148	56	33	409	176	339	212	-3.55537669370231	1.48790728348901	0.210932965527392	142.46
akhv1239	42.4003	46.3037	-15	103	32	7282	150	-164	314	56	-109	75	-109	817	135	20	57	369	68	328	68	-4.89163575213301	2.06104125606029	1.10371379386965	46.3037
akhv1239	42.4003	46.3037	-15	103	32	7282	150	-164	314	56	-109	75	-109	817	135	20	57	369	68	328	68	-4.89163575213301	2.06104125606029	1.10371379386965	46.3037
alba1267	41.33	19.85	143	89	33	6140	287	23	264	78	223	223	66	1174	161	36	40	447	136	136	413	-1.36656524949735	0.643522098265912	-1.15417031784916	19.85
aleu1260	52.12	185.71	41	45	29	3530	125	-27	152	31	64	91	1	1306	160	69	27	449	216	290	331	-2.57049631589661	3.7218013371486	-0.269107853200988	-174.29
aleu1260	52.12	185.71	41	45	29	3530	125	-27	152	31	64	91	1	1306	160	69	27	449	216	290	331	-2.57049631589661	3.7218013371486	-0.269107853200988	-174.29
alor1247	-8.2222047	124.4084444	268	74	71	708	315	212	103	269	258	276	258	1132	231	3	85	623	25	496	25	2.20732532609613	-1.56950732317684	-0.12869234988924	124.4084444
alor1247	-8.176126	124.285994	253	74	71	686	300	197	103	256	242	260	242	1242	247	5	84	673	31	557	31	2.0737012349643	-1.18719778281296	0.17964076654654	124.285994
alor1247	-8.3613	124.0939	265	75	72	705	311	208	103	266	254	273	254	1132	244	3	90	651	21	510	21	2.20549883891424	-1.56609600476748	0.0553686972769432	124.0939
alor1247	-8.361888	124.094494	265	75	72	705	311	208	103	266	254	273	254	1132	244	3	90	651	21	510	21	2.20549883891424	-1.56609600476748	0.0553686972769432	124.094494
alor1247	-8.310903	124.031987	263	76	73	663	310	206	104	264	253	270	253	1152	245	4	89	655	23	516	23	2.20203130387836	-1.51503114640566	0.0641597241812103	124.031987
