glottocode;language;colexification;exists_blue;macroarea;latitude;longitude;family;glottocode_family;status;to_lookin_glotto;subsistence;popsize_ethno;popsize_wiki
abkh1244;Abkhaz;none;yes;Eurasia;43.06;41.16;Abkhaz-Adyge;abkh1242;alive;ok;AGR;117350;190110
abkh1244;Abkhaz;none;yes;Eurasia;42.999497;41.017252;Abkhaz-Adyge;abkh1242;alive;ok;AGR;117350;190110
abui1241;Abui;green;no;Papunesia;-8.31058;124.588;Timor-Alor-Pantar;timo1261;alive;ok;AGR;16000;17000
abui1241;Abui  Fuimelang;green;no;Papunesia;-8.236;124.6783;Timor-Alor-Pantar;timo1261;alive;ok;AGR;16000;17000
abui1241;Abui  Takalelang;green;no;Papunesia;-8.1887;124.6264;Timor-Alor-Pantar;timo1261;alive;ok;AGR;16000;17000
abui1241;Abui  Ulaga;green;no;Papunesia;-8.403792;124.623702;Timor-Alor-Pantar;timo1261;alive;ok;AGR;16000;17000
abui1241;Papuna;none;yes;Papunesia;-8.334706;124.715864;Timor-Alor-Pantar;timo1261;alive;ok;AGR;16000;17000
acha1249;Achang (Longchuan);none;yes;Eurasia;24.466605;97.89503;Sino-Tibetan;sino1245;alive;ok;AGR;62700;60000
ache1246;Ach?®;green;no;South America;-25.5865;-56.4697;Tupian;tupi1275;alive;ok;HG;1500;910
adan1251;Adang  Otvai;green;no;Papunesia;-8.1837;124.4979;Timor-Alor-Pantar;timo1261;alive;ok;AGR;31800;3000
adon1237;Adonara Lamaholot;green;no;Papunesia;-8.3757;123.2375;Austronesian;aust1307;alive;ok;AGR;17000;98000
adyg1241;Adyghe;green;no;Eurasia;44.65;40;Abkhaz-Adyge;abkh1242;alive;ok;AGR;499300;575900
adyg1241;Adyghe;green;no;Eurasia;44.018006;39.420799;Abkhaz-Adyge;abkh1242;alive;ok;AGR;499300;575900
aghu1253;Aghul;none;yes;Eurasia;41.92;47.58;Nakh-Daghestanian;nakh1245;alive;ok;AGR;28332;29300
aghu1253;Aghul;none;yes;Eurasia;41.9242;47.5843;Nakh-Daghestanian;nakh1245;alive;ok;AGR;28332;29300
agua1253;Aguaruna;none;yes;South America;-5.30044;-77.9218;Chicham;jiva1245;alive;ok;AGR;38300;56584
ainu1240;Hokkaido Ainu;green;no;Eurasia;43.63;142.46;Ainu;ainu1252;alive;ok;HG;15;10
ainu1240;Hokkaido Ainu;yellow;mixed_with;Eurasia;43.63;142.46;Ainu;ainu1252;alive;ok;HG;15;10
akhv1239;Akhvakh (Northern dialect);none;yes;Eurasia;42.4003;46.3037;Nakh-Daghestanian;nakh1245;alive;ok;AGR;6500;210
akhv1239;Akhvakh (Southern dialect);none;yes;Eurasia;42.4003;46.3037;Nakh-Daghestanian;nakh1245;alive;ok;AGR;6500;210
alba1267;Standard Albanian;none;yes;Eurasia;41.33;19.85;Indo-European;indo1319;alive;ok;AGR;6200000;6200000
aleu1260;Aleut;none;yes;North America;52.12;-174.29;Eskimo-Aleut;eski1264;alive;ok;HG;490;200
