glottocode	longitude	longitude_180	latitude	elevation
abkh1244	41.16	41.16	43.06	946
abkh1244	41.017252	41.017252	42.999497	946
acha1249	97.89503	97.89503	24.466605	898
ache1246	303.5303	-56.4697	-25.5865	136
adyg1241	40	40	44.65	181
adyg1241	39.420799	39.420799	44.018006	363
aghu1253	47.58	47.58	41.92	1838
aghu1253	47.5843	47.5843	41.9242	1838
agua1253	282.0782	-77.9218	-5.30044	1225
ainu1240	142.46	142.46	43.63	377
ainu1240	142.46	142.46	43.63	377
akhv1239	46.3037	46.3037	42.4003	2273
akhv1239	46.3037	46.3037	42.4003	2273
alba1267	19.85	19.85	41.33	405
aleu1260	185.71	-174.29	52.12	119
aleu1260	185.71	-174.29	52.12	119
anci1242	21.9129	21.9129	39.8155	623
andi1255	46.29	46.29	42.81	1061
andi1255	46.2919	46.2919	42.8078	1061
apat1240	93.44	93.44	27.12	1037
arao1248	292.2707	-67.7293	-12.4242	186
arch1244	46.8333	46.8333	42	2648
arch1244	46.8267	46.8267	42.3239	2059
avar1256	46.56	46.56	41.7	1266
avar1256	46.558	46.558	41.7047	1266
axiy1235	105.61	105.61	27.16	1605
ayor1240	299.782505	-60.217495	-19.220055	263
bagv1239	46.1041	46.1041	42.3966	2085
bash1264	56.56	56.56	53.6	473
basq1248	358.68	-1.32	43.28	404
basq1248	358.68378	-1.31622	43.2787	404
bata1314	12.677	12.677	9.68091	304
bats1242	45.344	45.344	42.1806	1810
batu1258	134.812861	134.812861	-5.735916	78
bela1254	25.6	25.6	53.23	195
beng1280	90	90	24	9
beng1280	90.2792399	90.2792399	23.7805733	10
bezh1248	46.1667	46.1667	42.0833	1624
bezh1248	46.0332	46.0332	42.1206	1367
biao1254	111.29622	111.29622	25.82286	321
bima1247	118.843333	118.843333	-8.53818	6
bitt1240	101.916	101.916	21.3474	978
biyo1243	101.652	101.652	22.511	1128
blan1242	99.7405	99.7405	22.0092	1187
boga1251	12.936	12.936	10.188	502
boly1239	104.955	104.955	24.7013	1211
botl1242	46.22	46.22	42.665	1778
bret1244	356.21	-3.79	48.25	134
bret1244	355.897136	-4.102864	47.995619	100
bret1244	356.21066	-3.78934	48.2452	134
budu1248	48.371	48.371	41.18169	1379
budu1248	48.3353	48.3353	41.2272	1379
bulg1262	23.8	23.8	42.7	672
bulg1262	23.3535	23.3535	42.698586	773
bulg1262	25.047	25.047	43.3646	164
