glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
abkh1242	43.06	41.16	41.16	5868	8507	11650	15580	18873	20658	19511	18556	14316	10455	6728	5152	5681.44440394795	12987.8333333333
afro1255	8.67	8.08	8.08	17475	18445	18528	18085	17493	15526	12790	11945	13973	16019	17884	17676	2282.97793794673	16319.9166666667
ainu1252	43.63	142.46	142.46	5746	9197	13068	15530	17682	17646	16703	14936	12898	9519	5596	4502	4857.84309523052	11918.5833333333
anim1240	-7.37	141.45	141.45	17970	17654	17072	17382	16861	15968	15856	17335	18717	19796	19077	18370	1189.75234244932	17671.5
arau1255	-39.4	287.975	-72.025	22515	19662	15046	9949	6302	4313	4960	7303	11148	16012	20782	22207	6890.03159325562	13349.9166666667
araw1281	1	290.83	-69.17	14200	14214	14303	12890	12641	12719	13473	15366	15828	15211	14764	14185	1053.09306331397	14149.5
atha1245	53.75	236.5	-123.5	2645	5336	10336	15229	18801	20508	20259	17156	11495	6123	2898	1931	7179.337892047	11059.75
atla1278	8.75	8.25	8.25	17547	18507	18600	18106	17586	15870	13087	12132	14282	16179	17950	17696	2194.11990363224	16461.8333333333
aust1305	14.83	100.5	100.5	18515	19597	21836	22470	20313	18254	17533	16865	17043	18502	18367	17880	1792.47041943388	18931.25
aust1307	23.76	120.98	120.98	11097	12841	14189	16176	17647	18551	20454	19317	18082	15304	12673	10815	3278.01288199809	15595.5
ayma1253	-17	291.5	-68.5	16907	15740	15502	15929	16049	15091	16068	17361	18879	18939	18881	17211	1389.38980229714	16879.75
barb1265	0.72	281.87	-78.13	14814	14458	14182	14314	14250	14592	15214	15068	15151	14551	14444	13706	442.442600283307	14562
basq1248	43.2787	358.68378	-1.31622	5161	8247	12275	16079	18640	20349	20531	18487	14351	9677	6009	4353	6052.17546850016	12846.5833333333
bilu1245	-7.92	156.66	156.66	20300	20231	20481	19986	19081	17946	18101	18852	21300	21405	20834	20255	1154.49479965232	19897.6666666667
