glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
abkh1242	43.06	41.16	133	88	32	6398	272	5	267	107	56	214	52	1414	134	99	9	384	318	365	345	-1.47364510013066	2.08882654084256	-1.21497431500184	41.16
afro1255	8.67	8.08	266	113	62	1461	357	177	180	250	263	287	250	1406	284	1	89	802	11	268	802	2.34461708389474	-1.53890359891502	-0.501092026474592	8.08
ainu1252	43.63	142.46	60	96	24	10628	255	-140	395	151	-25	191	-78	1115	148	56	33	409	176	339	212	-3.55537669370231	1.48790728348901	0.210932965527392	142.46
anim1240	-7.37	141.45	266	85	77	747	324	214	110	271	254	272	254	2625	362	89	43	989	327	863	333	3.99503152263954	0.918554100286744	0.214756736136381	141.45
arau1255	-39.4	287.975	89	122	56	3388	223	7	216	52	134	134	47	2129	356	53	61	1005	200	200	968	-0.310841825361578	2.37407150244147	0.416918639648645	-72.025
araw1281	1	290.83	256	94	87	448	312	205	107	250	259	260	249	3473	404	212	22	1137	682	727	1018	5.25140093377716	3.49744877871441	-0.991639396358517	-69.17
atha1245	53.75	236.5	18	130	33	8671	213	-174	387	124	-27	124	-98	534	60	22	25	173	84	173	132	-4.82228100451237	1.02825460533077	-0.339398155070128	-123.5
atla1278	8.75	8.25	275	114	62	1453	366	183	183	259	271	296	259	1399	291	1	91	812	8	257	812	2.5113352228004	-1.71903569607234	-0.526088767701287	8.25
aust1305	14.83	100.5	281	103	57	1682	369	189	180	282	262	303	257	1262	273	5	78	625	29	267	48	1.9584231618177	-2.35042936581887	-0.418282826404682	100.5
aust1307	23.76	120.98	181	76	46	3215	255	91	164	211	149	216	136	2296	393	31	72	1122	115	1120	169	1.55491202652995	1.15959162950847	2.54965338011894	120.98
ayma1253	-17	291.5	61	164	66	2384	170	-75	245	84	28	84	26	510	134	3	95	309	15	309	19	-3.06293316731536	-0.153451024059017	0.678944085434162	-68.5
barb1265	0.72	281.87	159	108	88	175	220	98	122	160	157	161	157	998	138	21	44	348	90	327	309	0.073727666474885	0.457935058613235	-1.10932462246013	-78.13
basq1248	43.2787	358.68378	122	92	40	4892	244	17	227	68	183	185	60	1243	151	63	21	401	239	251	375	-1.38700563174678	1.71178656550978	-1.26928933532964	-1.31622
bilu1245	-7.92	156.66	267	67	87	403	308	231	77	270	266	271	261	3737	408	251	17	1145	792	943	956	5.97760829911488	4.33238552704887	-0.920154252392096	156.66
buna1274	-18.12	125.99	275	153	54	4167	398	115	283	305	233	319	214	528	156	0	116	372	7	260	11	0.635017733736024	-3.98801772119983	-0.476485870779615	125.99
buru1296	36.2161	74.82	45	103	26	9563	239	-143	382	37	-3	164	-84	148	26	3	54	70	15	32	27	-5.20800861323986	0.264738971229772	-0.566824985218539	74.82
cari1283	-0.5	299.5	271	92	85	379	327	219	108	266	276	276	266	2101	325	84	43	863	310	310	863	3.83489845834035	0.685396375645427	-1.41143187782092	-60.5
