glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
abkh1242	43.06	41.16	0.00803049873627965	0.00736999977380037	0.00355636973396899	0.00652499997522682	0.00802021884786415	0.00735625765971943	0.00367514280568306	0.00607592462458544
afro1255	8.67	8.08	0.0153087485849744	0.0166599992662668	0.00308983342686275	0.0034700003452599	0.0152926303815459	0.0167499125301321	0.00293201060252345	0.00378075412785014
ainu1252	43.63	142.46	0.00678058449338496	0.0058699999935925	0.00362880460104874	0.00635250000050291	0.0067701845104446	0.00593993054806358	0.00375327370290332	0.00581931944341502
anim1240	-7.37	141.45	0.0186259882309689	0.0187349999323487	0.000898967037420553	0.0011999998241663	0.0186334547637051	0.0187976708144156	0.000789757797010817	0.00110745402182349
arau1255	-39.4	287.975	0.00583107214521981	0.00590999983251095	0.00106572064175391	0.00151000032201409	0.00583328121008548	0.00571631942875683	0.000972265028150559	0.00143563748942041
araw1281	1	290.83	0.018553515030006	0.0185899995267391	0.000652119591599224	0.000860000029206276	0.0185592546604653	0.0186333333452543	0.000459502129801914	0.00054096838640463
atha1245	53.75	236.5	0.00479113228725202	0.00400999980047345	0.00238480985313231	0.00387572514591739	0.00478419681456338	0.00410961041375736	0.00242029512197608	0.00373918402086323
atla1278	8.75	8.25	0.0153087485849744	0.0166599992662668	0.00308983342686275	0.0034700003452599	0.0152926303815459	0.0167499125301321	0.00293201060252345	0.00378075412785014
aust1305	14.83	100.5	0.017261761665075	0.0186249995604157	0.00308793609800985	0.00499999942258	0.0172615322306267	0.0187364944463803	0.00312105122127393	0.00470059792860411
aust1307	23.76	120.98	0.0161988217978454	0.0163150001317263	0.00310185534477046	0.006029998883605	0.016194334277817	0.0162575965579082	0.0032056167743063	0.00573957292363048
ayma1253	-17	291.5	0.00823692482079885	0.00856999959796667	0.00198176799052897	0.00329500052612275	0.00824075284304493	0.00863395831483002	0.0019704207376391	0.0031213930374684
barb1265	0.72	281.87	0.0149714940700828	0.0149550000205636	0.000885191771120184	0.00123000051826239	0.0149796232764105	0.0150409028089295	0.000720123533678734	0.0010422131648132
basq1248	43.2787	358.68378	0.00744999289791597	0.00707499985583127	0.00211995250396065	0.00355500041041523	0.00745037669547015	0.00706349374377169	0.00215873475086431	0.00344435802576805
bilu1245	-7.92	156.66	0.019211100575043	0.0192099995911121	0.000547802695572074	0.000749999657273293	0.0192137579728718	0.0192176672992193	0.000376198234727488	0.000465923415807386
buna1274	-18.12	125.99	0.00934960594751366	0.00842500012367964	0.00450739702226874	0.00720999971963465	0.00936062810481685	0.00863212846969772	0.00454573876873126	0.00703754166897852
