glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
boga1251	10.188	12.936	12.936	228.214123376623	3.13623154330626	225.8	228.571428571429	226.045454545455	223.952380952381	230.363636363636	233.619047619048	233.181818181818	230.4	227.35	225.285714285714	225.619047619048	228.380952380952
arap1274	43.3879	-108.81	-108.81	198.054671717172	33.5327168306495	146.863636363636	211.047619047619	156.909090909091	138.238095238095	176.590909090909	212.409090909091	217.545454545455	222.5	225.55	227	223.954545454545	218.047619047619
waur1244	-13.296	-53.6971	-53.6971	225.667352092352	2.59335888963262	226.863636363636	228.571428571429	226.954545454545	226.285714285714	228.47619047619	227.428571428571	226.227272727273	223.05	220.85	221.47619047619	224.681818181818	227.142857142857
jama1261	-7.62223	-66.5662	-66.5662	224.529924242424	2.39022645920135	224.809523809524	227.45	225.727272727273	224.904761904762	225.954545454545	225.954545454545	224.772727272727	221.380952380952	219.5	221.952380952381	224.857142857143	227.095238095238
atak1252	30.9121	-93.0827	-93.0827	208.754671717172	18.9392191750993	173.136363636364	214.47619047619	195.772727272727	171.190476190476	205.52380952381	215.238095238095	219.363636363636	221.75	223.2	223.761904761905	222.5	219.142857142857
ahte1237	61.7068	-144.889	-144.889	122.907106544771	70.7949969381254	23.5789473684211	113.619047619048	38.4545454545455	12.6875	80	122.681818181818	148.590909090909	194.809523809524	209.45	205.666666666667	181.727272727273	143.619047619048
nort2770	9.9249	13.6567	13.6567	227.713221500721	3.01893928965692	225.409090909091	228.45	225.818181818182	223.7	229.952380952381	233.090909090909	232.380952380952	229.4	226.5	224.571428571429	225.52380952381	227.761904761905
rapa1245	-27.6304	-144.338	-144.338	215.129022366522	15.3579329133797	229.727272727273	221.714285714286	225.545454545455	228.285714285714	228.681818181818	223.227272727273	215.909090909091	208.5	183.15	188.142857142857	212.045454545455	216.619047619048
taro1264	23.9032	121.358	121.358	219.511742424242	6.67136917929954	212.190476190476	218.619047619048	214.227272727273	206	214.666666666667	219.863636363636	221.857142857143	222.380952380952	225.05	228.380952380952	227.380952380952	223.52380952381
mali1284	-4.71826	152.214	152.214	228.155157780816	2.92617898853724	229.136363636364	232.047619047619	230.47619047619	227.380952380952	229.55	230.190476190476	229.5	226.315789473684	223.15	222.95	226.545454545455	230.619047619048
muin1242	-0.8652	-72.4249	-72.4249	224.574855699856	2.76154422266897	226.272727272727	226.7	225.272727272727	225.1	227.181818181818	228.090909090909	225.318181818182	222.45	219.75	219.571428571429	223.333333333333	225.857142857143
pawn1254	36.2862	-96.8937	-96.8937	197.593310928837	29.7600119639183	149.954545454545	206.761904761905	166.090909090909	146.047619047619	173.636363636364	209.318181818182	216	219.052631578947	222	223.714285714286	221.590909090909	216.952380952381
chib1270	6.24999	-74.1666	-74.1666	227.859371914635	1.87798132176495	226.227272727273	227.380952380952	225.181818181818	224	228.181818181818	229.272727272727	228.727272727273	228.526315789474	227.8	229.142857142857	230.3	229.571428571429
quil1240	47.9106	-124.603	-124.603	170.296771284271	42.7874357016411	115.772727272727	154.809523809524	121.772727272727	111.619047619048	130.190476190476	157.863636363636	187.727272727273	212.8	214.35	215.428571428571	214.227272727273	207
ines1240	34.6169	-120.08	-120.08	205.840025252525	21.519421225763	169.045454545455	212.952380952381	189.636363636364	164.047619047619	192.818181818182	214.227272727273	219.181818181818	221.6	222.95	223.285714285714	221.954545454545	218.380952380952
moha1256	34.8866	-114.599	-114.599	208.697655122655	20.9194928788299	173.863636363636	214.666666666667	190.363636363636	168.238095238095	198	215.5	220.772727272727	224.15	226.75	226.52380952381	224.590909090909	220.952380952381
bank1259	15.06	-2.92	-2.92	227.095111832612	3.83224401926727	221.636363636364	226.4	222.590909090909	220.238095238095	226.681818181818	230.761904761905	232.5	230.75	228	227.809523809524	228.772727272727	229
elam1244	31.1833	48.2333	48.2333	212.693091630592	18.2717273956796	180.454545454545	216.190476190476	200.954545454545	174.571428571429	211.095238095238	216.318181818182	221.727272727273	225.65	228.1	228	226.636363636364	222.619047619048
nort2943	69.582	-143.77	-143.77	118.553463203463	53.5643864880455	NA	36.4761904761905	NA	NA	34.2666666666667	102.136363636364	121.409090909091	144.52380952381	178.55	177.190476190476	152	120.428571428571
mixe1288	11.67	92.74	92.74	226.635263347763	3.79438656398378	225.636363636364	225.619047619048	222.8	222.952380952381	230.727272727273	233.95	232.714285714286	226.95	223.2	224.142857142857	225.380952380952	225.55
guah1255	5.81736	-68.9839	-68.9839	226.221085858586	3.67102130064724	229.409090909091	225.9	225.428571428571	226.285714285714	232.045454545455	232.454545454545	227.363636363636	223.571428571429	221.45	221.190476190476	223.363636363636	226.190476190476
pana1310	26.263819	110.096687	110.096687	210.026966089466	14.2177584914133	179.714285714286	214.428571428571	204.045454545455	187.666666666667	199.952380952381	214.409090909091	217.045454545455	218.47619047619	219.75	223.428571428571	222.454545454545	218.952380952381
chua1248	26.55	105.1	105.1	211.255772005772	14.0889561255572	184.636363636364	212.857142857143	200.181818181818	185.333333333333	206.727272727273	217.681818181818	221.090909090909	221.65	220.35	222.666666666667	223.227272727273	218.666666666667
muru1274	-1.13669	-73.8331	-73.8331	224.059988038278	2.60266812013785	226	226.380952380952	225.636363636364	224.809523809524	225.714285714286	226	223.545454545455	221.578947368421	219.05	219.714285714286	223.909090909091	226.380952380952
sout2774	4.44235	6.32192	6.32192	222.111724386724	3.92366224184497	224.5	220.2	222.142857142857	222.65	228.142857142857	227.809523809524	226.045454545455	222.190476190476	217.85	216.142857142857	218.619047619048	219.047619047619
anci1242	39.8155	21.9129	21.9129	189.17022005772	36.1072914275559	137.045454545455	194.428571428571	149.772727272727	129.904761904762	155.090909090909	190.545454545455	213.590909090909	217.8	222.05	223.333333333333	220.909090909091	215.571428571429
chur1257	43.7171	22.8442	22.8442	179.31038961039	40.8551668109839	121.636363636364	174.142857142857	134.818181818182	118.904761904762	139.363636363636	172.727272727273	208.454545454545	215.380952380952	217.9	219.190476190476	217.681818181818	211.52380952381
