glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
boga1251	10.188	12.936	12.936	18896	20690	20470	20212	20271	19353	16838	15377	17384	19298	19241	18882	1615.57202553677	18909.3333333333
arap1274	43.3879	-108.81	-108.81	6749	10382	15276	18597	22267	24606	25492	21899	16978	11591	7240	5777	7148.31587074038	15571.1666666667
waur1244	-13.296	-53.6971	-53.6971	13759	14080	14451	16109	15961	16071	17268	18338	17620	17005	14766	13204	1657.76148812643	15719.3333333333
jama1261	-7.62223	-66.5662	-66.5662	11927	12010	12623	12138	13835	14258	15921	16102	16320	14588	13425	11822	1701.86819585437	13747.4166666667
atak1252	30.9121	-93.0827	-93.0827	8718	11338	14897	18899	21164	22307	22866	21243	17720	14260	10284	8510	5395.40164202702	16017.1666666667
ahte1237	61.7068	-144.889	-144.889	789	2702	7310	12568	16011	17417	14835	12059	7662	3746	1240	436	6313.99001436613	8064.58333333333
nort2770	9.9249	13.6567	13.6567	19214	20964	20867	20354	20149	19337	16933	15892	17450	19532	19452	19104	1577.07646669975	19104
rapa1245	-27.6304	-144.338	-144.338	18815	17764	14948	11885	8771	7053	7856	10042	12405	16016	18309	18784	4445.80523435499	13554
taro1264	23.9032	121.358	121.358	10055	11618	13455	15961	17482	18564	20735	19371	17476	14335	11429	9761	3775.84263523529	15020.1666666667
mali1284	-4.71826	152.214	152.214	17353	18461	18880	18311	18518	17458	17034	18200	19837	20315	19483	18167	999.156140162409	18501.4166666667
muin1242	-0.8652	-72.4249	-72.4249	13838	13245	13769	12274	12119	12486	13623	15114	15199	14406	13669	14811	1054.07245955864	13712.75
pawn1254	36.2862	-96.8937	-96.8937	8408	11208	14792	18495	20987	23209	24718	21807	17422	12880	8842	7706	6078.57988548661	15872.8333333333
chib1270	6.24999	-74.1666	-74.1666	18050	19772	18396	16678	16789	17192	17536	18251	17768	16338	16497	16907	994.798700514559	17514.5
quil1240	47.9106	-124.603	-124.603	3347	6299	9717	14193	17806	18986	19628	16951	13086	7186	3852	2717	6401.72749886286	11147.3333333333
ines1240	34.6169	-120.08	-120.08	9568	12074	17028	22041	24343	25897	25216	23974	19734	15106	11341	9108	6386.14278945223	17952.5
moha1256	34.8866	-114.599	-114.599	10582	13620	19004	23635	27221	29260	27008	24299	21314	16632	12147	10063	6877.56244422706	19565.4166666667
bank1259	15.06	-2.92	-2.92	18547	21037	22644	22778	22542	22284	21980	21885	22443	21562	19683	17493	1742.36082440585	21239.8333333333
elam1244	31.1833	48.2333	48.2333	11028	14269	17120	20005	23611	25963	25582	24411	21608	16889	12499	10389	5710.5396099111	18614.5
nort2943	69.582	-143.77	-143.77	151	1538	6281	12643	14844	18831	16195	10091	5398	1978	344	3	6903.32203900719	7358.08333333333
mixe1288	11.67	92.74	92.74	16634	20141	22469	21213	17386	15404	14965	15053	15649	15765	16041	15439	2604.29367350896	17179.9166666667
guah1255	5.81736	-68.9839	-68.9839	18047	19441	17647	16285	15015	14510	15161	16138	17240	16373	16130	15343	1430.05669521007	16444.1666666667
pana1310	26.263819	110.096687	110.096687	7834	8591	10647	13508	14737	16024	19395	19259	16901	12196	9663	8352	4184.994083302	13092.25
chua1248	26.55	105.1	105.1	8020	9847	13166	15945	15972	15235	16515	17024	14109	10169	9219	7687	3526.39226749413	12742.3333333333
muru1274	-1.13669	-73.8331	-73.8331	13921	13283	12348	12345	11913	11889	13784	15178	14962	14395	13599	13942	1129.0831457426	13463.25
sout2774	4.44235	6.32192	6.32192	15785	16683	17036	16516	15711	13784	12675	12823	13505	14765	15599	15825	1516.85736480116	15058.9166666667
anci1242	39.8155	21.9129	21.9129	6272	8880	12757	17428	20439	23119	23949	21453	16707	11068	7376	5547	6779.35948246029	14582.9166666667
chur1257	43.7171	22.8442	22.8442	4926	7842	11607	15962	19261	21843	22474	19932	14923	9709	5459	4074	6798.71528416594	13167.6666666667
prus1238	52.394	14.757	14.757	2350	4532	8617	14354	18246	19517	18639	16028	10760	6166	2666	1673	6850.24919697131	10295.6666666667
tokh1243	41.65	82.9	82.9	8147	11040	14505	18509	21909	23656	22635	21147	17683	13510	9383	7388	5918.49752637415	15792.6666666667
oldh1241	52	10	10	2395	4777	8260	13155	17432	18227	17763	15278	10111	5968	2802	1759	6358.76992285601	9827.25
midd1343	48.254	10.599	10.599	3756	6494	10319	14614	18045	18978	18939	16826	12115	7433	4130	2919	6197.29749018217	11214
olde1238	51.06	-1.31	-1.31	2729	4833	8781	13125	17139	18278	17604	15123	10931	6299	3395	2142	6137.06953251873	10031.5833333333
homs1234	40.1897	44.4839	44.4839	6927	9874	13623	17784	21391	24351	24957	22887	18788	12730	8507	6315	6890.74024039552	15677.8333333333
lati1261	41.9026	12.4502	12.4502	6231	8950	12934	16968	21339	23408	24630	21749	16365	11290	6808	5281	7049.38956899493	14662.75
iris1253	53.2186	-7.61509	-7.61509	2310	4541	8035	13044	16742	17569	16078	13503	9925	5671	2959	1826	5909.09224108377	9350.25
oldi1245	53	-8	-8	2364	4582	7997	13291	16803	17678	16199	13672	10162	5753	3014	1851	5948.6877213433	9447.16666666667
logu1236	40.49	9.09957	9.09957	6591	9518	13747	17760	22084	24677	25853	22419	17075	11929	7582	5851	7242.04732270112	15423.8333333333
oldn1244	63.42	10.38	10.38	746	2766	6963	12984	17488	18801	17692	13382	8142	3601	1113	453	7095.231067521	8677.58333333333
hitt1242	40	35	35	7064	9662	13499	18108	21864	25622	28031	25463	19816	13687	8832	6332	7709.29754297112	16498.3333333333
midd1317	51.65	-1.11	-1.11	2582	4637	8480	12675	16901	17957	17195	14796	10599	6150	3246	1992	6054.59265952114	9767.5
onei1249	43.438742	-75.708106	-75.708106	5131	8054	11567	15609	18798	20466	20274	17577	13557	8653	4887	4040	6173.43373523466	12384.4166666667
katc1249	10.8423	29.4914	29.4914	18264	19986	20753	21457	20215	18638	17094	16775	17762	18049	18135	17758	1499.52207537784	18740.5
tima1241	11.7176	29.1632	29.1632	18476	20297	21160	22158	21024	19909	17681	17386	18367	18429	18498	18033	1560.97946136004	19284.8333333333
klam1254	42.5861	-121.704	-121.704	5683	8797	13495	17511	21768	25261	26775	23431	18347	11958	6445	4930	7909.23054670358	15366.75
esee1247	-9.09451	148.376	148.376	20079	20049	19432	18336	17346	16510	16803	18248	20019	21589	21407	20572	1725.4880117775	19199.1666666667
kwaz1243	-11.6667	-61.1833	-61.1833	12662	12450	12109	12652	13878	14625	16334	16756	15977	15752	15139	13025	1687.38821627515	14279.9166666667
juho1239	-19.688	20.7673	20.7673	23150	22931	21491	19516	18237	16836	17970	20357	22915	24016	24018	23725	2590.65198883847	21263.5
anga1316	-22.85	-58.45	-58.45	20447	20017	18131	15791	12939	11482	12654	14730	16619	19096	20964	21128	3464.0708798473	16999.8333333333
maib1239	-1.3679	132.591	132.591	16335	18602	18545	17237	16518	15086	14988	16425	18188	18661	18258	16912	1322.19570309116	17146.25
mail1248	-10.3657	149.521	149.521	22841	22770	21709	19910	18091	17108	17689	19450	21423	23104	23359	23430	2357.96264138807	20907
mand1436	12.8165233333	-15.6539466667	-15.6539466667	18270	21010	22687	24123	23254	20474	18405	18230	18786	19214	18469	16812	2322.13098970177	19977.8333333333
misk1235	15.1576	-84.2942	-84.2942	16113	17855	20540	21570	21779	19745	19913	20168	19428	17822	15985	15143	2222.24671154435	18838.4166666667
nort2968	38.4179	-120.588	-120.588	6908	10004	15534	20115	24205	27945	28002	24968	20273	14490	9072	6576	8011.430220742	17341
copa1236	17.2157	-93.3183	-93.3183	13779	16272	18376	18406	19492	18550	18929	18837	16552	15893	14698	13175	2168.97307603056	16913.25
alab1237	30.76738	-94.62848	-94.62848	8848	11306	14857	18671	20826	22522	23490	21491	17871	14178	10099	8428	5499.18974954631	16048.9166666667
chec1245	43.5	45.5	45.5	5195	7875	11394	15824	19693	21923	21514	18572	14193	9148	5744	4320	6535.99826775226	12949.5833333333
natc1249	31.75	-91.33	-91.33	8456	11209	14801	19016	21249	22160	22830	21449	17759	14052	10190	8116	5518.54355717378	15940.5833333333
masa1300	-3.1419	36.4573	36.4573	19068	19696	18986	16968	15099	15363	15576	17385	18975	19507	17793	17866	1646.1621942254	17690.1666666667
sahu1245	1.00742	127.493	127.493	16817	18374	18828	18105	16918	15633	16452	18020	19181	19376	18454	17342	1160.42604506302	17791.6666666667
roto1249	-5.94339	155.154	155.154	19434	19761	19738	19634	19312	18313	18361	18986	20684	20724	19936	19314	755.24811796983	19516.4166666667
ghul1238	11.6432	29.8122	29.8122	18719	20408	21389	22341	21439	19767	17618	17235	18470	18582	18644	18272	1640.89061183249	19407
toar1246	-8.07231	146.206	146.206	17790	17960	17306	16902	16723	15782	15654	17307	18798	20275	19624	18601	1420.07437918732	17726.8333333333
guhu1244	-7.99922	147.228	147.228	18175	18429	17677	16881	16735	15857	15907	17690	19108	20538	20022	18745	1493.88312390186	17980.3333333333
ende1235	-8.957786	142.240799	142.240799	18950	19023	18105	17624	16993	16345	16665	18279	19821	20984	20451	19610	1496.18179700763	18570.8333333333
achu1247	41.0979	-121.191	-121.191	6314	9441	14484	18494	22685	26563	27533	24279	19313	13128	7427	5629	7991.76739848672	16274.1666666667
ngar1287	-20.9235	117.203	117.203	27109	25266	23299	19787	16104	14845	16125	19140	23294	27027	28907	28884	5145.65979734378	22482.25
nezp1238	46.3073	-116.408	-116.408	4504	7821	12390	16720	20728	23214	25415	21934	16038	9819	4973	3650	7815.77551358711	13933.8333333333
halk1245	49.250402	-122.443668	-122.443668	3268	6168	9931	14787	18271	19673	21019	18121	12946	7106	3541	2565	6882.80602573389	11449.6666666667
kats1235	24.6	102.4	102.4	13101	15692	17963	19184	17888	15810	14634	15511	14588	12249	12438	11723	2426.21101751582	15065.0833333333
phol1237	23.4674	102.228	102.228	12680	15391	18115	19094	18515	16537	15555	16241	16162	13634	13013	11519	2419.11787078002	15538
farn1234	25.646902	99.684187	99.684187	13842	15725	18383	19239	18220	15603	13689	14727	14850	13164	13803	12717	2185.40263955402	15330.1666666667
honi1244	23.2074	101.886	101.886	13299	16060	18408	19274	18763	16664	15563	16236	16438	13917	13215	11779	2369.66527491786	15801.3333333333
xish1235	24.8709	100.711	100.711	13610	15938	18480	19388	18223	15711	13964	14923	14817	12689	12906	12128	2402.91771350556	15231.4166666667
azha1235	23.9	104.15	104.15	10707	12919	15608	17582	17466	16131	16340	16743	15407	12465	11752	10302	2655.99674265043	14451.8333333333
phuz1235	23.05	103.4	103.4	10977	13044	15947	17851	18019	16668	16209	16584	16120	13330	12119	10331	2669.55935956525	14766.5833333333
luqu1238	25.48	102.48	102.48	12558	15036	17321	18798	17523	15602	14692	15609	14177	11700	12020	11205	2461.3822844085	14686.75
kuan1249	26.45	103.33	103.33	10481	12784	15519	17388	16692	15491	15417	16082	13959	10951	10965	9922	2665.26570822771	13804.25
xinp1238	24.408	102.456	102.456	12908	15534	17869	19146	17954	15905	14876	15685	14869	12375	12339	11518	2452.18201534136	15081.5
hlep1236	23.591	103.733	103.733	11292	13609	16233	17878	17713	16266	16070	16512	15574	12829	12039	10654	2516.3973330694	14722.4166666667
nort3298	26.91	98.94	98.94	12495	13924	16427	18107	17739	15554	13884	14442	14229	12976	13448	12154	1951.88493785009	14614.9166666667
lawu1238	24.133878	101.498795	101.498795	12667	15368	18306	19491	18581	16186	14879	15738	15489	12903	12462	11284	2618.39053618821	15279.5
sout2722	22.87312	103.306087	103.306087	11270	13579	16275	17852	17804	16269	15458	15876	15497	12970	11985	10343	2510.88049870715	14598.1666666667
limi1243	24.469	100.073	100.073	14326	16618	19114	19912	18800	15938	14192	15342	15529	13480	13754	12793	2359.27860700142	15816.5
kath1251	24.2	105.1	105.1	9489	11330	14345	16933	17285	16474	17554	17839	15890	12503	11221	9428	3226.05890884425	14190.9166666667
naaa1244	21.2701	100.214	100.214	15398	18354	20448	20750	19524	17078	15400	15503	16577	15437	14554	13361	2396.17321172866	16865.3333333333
west1506	24.73	98.9	98.9	14817	16963	19868	20334	18995	15919	13849	14952	15818	14092	14773	13621	2360.25076190877	16166.75
lako1247	46.3699	-103.95	-103.95	5295	8569	13476	17024	20756	22604	24324	20996	15374	9860	5777	4558	7171.01829282708	14051.0833333333
dime1235	6.20951	36.3329	36.3329	20050	20985	19531	20430	17415	16954	15263	14734	17301	19191	19912	19752	2068.17490175334	18459.8333333333
tere1278	-6.70051	155.745	155.745	19533	19632	19901	19878	19411	18137	18023	18434	20545	20626	19860	19199	854.384675800324	19431.5833333333
cent2009	23.95	108	108	8931	9762	12172	15338	17073	17700	19847	19242	17694	14432	11433	9731	3929.41096962151	14446.25
east2363	23.7	109	109	9287	9900	11874	15061	17025	17841	20187	19397	17973	15215	11978	10326	3877.7589122866	14672
liuq1235	24.1	109.75	109.75	9238	9528	11358	14559	16371	17477	20015	19550	17976	14785	11775	10271	3907.33053394708	14408.5833333333
high1242	16.1849	-95.7301	-95.7301	16050	19075	20155	18732	19003	17879	18581	18485	16295	16948	16488	15179	1512.76134231011	17739.1666666667
abui1241	-8.31058	124.588	124.588	16603	16563	18811	18592	17101	16605	16670	19902	22414	22939	21420	19461	2347.94205667754	18923.4166666667
beri1254	-2.26904	138.866	138.866	17335	16469	16698	18366	17460	16832	16669	18044	18695	18678	17214	16922	804.387344505121	17448.5
xico1235	20.6532	-97.7463	-97.7463	12961	15263	17341	18782	19789	20133	20421	20617	17757	16519	14003	12525	2930.14611668966	17175.9166666667
tuni1252	30.9888	-92.5403	-92.5403	8738	11321	14777	18939	21201	22243	22757	21177	17705	14300	10383	8514	5365.16220983847	16004.5833333333
rumu1243	-7.17149	144.179	144.179	16748	16712	16149	16417	16474	15434	15229	16678	18251	19506	18707	17763	1297.56291375467	17005.6666666667
sout2697	36.5137	48.4302	48.4302	7927	10639	13060	17082	21541	26236	26318	23061	19840	13991	9711	7596	6891.36886828646	16416.8333333333
east2326	57.566	22.0262	22.0262	1429	3722	8668	13588	19512	21358	19656	15710	9551	4755	1656	861	7708.82153277934	10038.8333333333
wara1303	7.50851	-59.3528	-59.3528	15766	18217	19520	19404	17628	16964	18634	19929	20870	19349	17653	14793	1770.88540386903	18227.25
wint1259	39.7176	-122.445	-122.445	6161	9148	14580	19111	23115	26566	27130	23938	19278	13348	7832	5760	7935.21300004358	16330.5833333333
yare1248	-9.50651	148.605	148.605	21572	21401	20676	19190	17790	17093	17734	19347	20711	22167	22173	21717	1836.71477759679	20130.9166666667
nucl1454	-1.77196	136.263	136.263	17413	18136	18041	18155	17081	15989	15814	17518	18049	19021	17978	17247	920.791540255481	17536.8333333333
wapp1239	38.25	-122.5	-122.5	6469	9335	14870	19658	23318	26477	26531	23535	19227	13586	8541	6222	7661.19105533621	16480.75
arab1268	-1.96126	-75.0612	-75.0612	13675	13319	11671	11908	11912	11607	13870	15374	14725	14491	13706	13078	1272.39495012001	13278
afro1255	8.67	8.08	8.08	17475	18445	18528	18085	17493	15526	12790	11945	13973	16019	17884	17676	2282.97793794673	16319.9166666667
algi1248	42.67	106.5	106.5	9330	12779	16857	20550	23454	24370	22854	20769	18177	13900	9982	7968	5837.06068361829	16749.1666666667
araw1281	1	290.83	-69.17	14200	14214	14303	12890	12641	12719	13473	15366	15828	15211	14764	14185	1053.09306331397	14149.5
araw1282	-6	109.5	109.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
atha1245	53.75	236.5	-123.5	2645	5336	10336	15229	18801	20508	20259	17156	11495	6123	2898	1931	7179.337892047	11059.75
