glottocode;name;glottocode_family;exists_blue;latitude;longitude;latitude_family;longitude_family;macroarea;status;subsistence;popsize_ethno;popsize_wiki
abui1241;Abui;timo1261;no;-8.31058;124.588;-8.31;124.59;Papunesia;shifting;;16000;
achu1247;Achumawi;pala1350;yes;41.0979;-121.191;40.7625;-120.926;North America;nearly extinct;HG;10;1000
ahte1237;Ahtena;atha1245;yes;61.7068;-144.889;53.75;236.5;North America;nearly extinct;HG;80;500
alab1237;Alabama;musk1252;no;30.76738;-94.62848;34;95;North America;shifting;AGR;250;
anci1242;Ancient Greek;indo1319;yes;39.8155;21.9129;34;71.55;Eurasia;extinct;AGR;0;0
anga1316;Angaité;leng1261;no;-22.85;-58.45;-22.7857;301.6058;South America;moribund;;;3700
arab1268;Arabela;zapa1251;yes;-1.96126;-75.0612;-2.935865;-75.0815433333333;South America;nearly extinct;AGR;50;50
arap1274;Arapaho;algi1248;no;43.3879;-108.81;42.67;106.5;North America;moribund;;1000;1000
atak1252;Atakapa;atak1252;yes;30.9121;-93.0827;30.9121;-93.0827;North America;extinct;;0;0
azha1235;Azha;sino1245;yes;23.9;104.15;26.1;94.75;Eurasia;not endangered;AGR;53000;53000
bank1259;Bankan Tey Dogon;dogo1299;yes;15.06;-2.92;14.51624675;-3.27346845;Africa;shifting;;1320;1300
beri1254;Berik;toro1256;yes;-2.26904;138.866;-2.21818230769231;139.227261538462;Papunesia;threatened;AGR;1200;1200
boga1251;Boga;afro1255;yes;10.188;12.936;8.67;8.08;Africa;not endangered;;10000;10000
cent2009;Central Hongshuihe Zhuang;taik1256;yes;23.95;108;24;108;Eurasia;not endangered;AGR;1080000;
chec1245;Chechen;nakh1245;yes;43.5;45.5;42.5;46.5;Eurasia;threatened;AGR;1361000;1500000
chib1270;Chibcha;chib1249;no;6.24999;-74.1666;9.75;276.58;South America;extinct;AGR;;1800
chua1248;Chuanqiandian;hmon1336;yes;26.55;105.1;27;107;Eurasia;not endangered;AGR;84000;84000
chur1257;Church Slavic;indo1319;yes;43.7171;22.8442;34;71.55;Eurasia;extinct;AGR;0;0
copa1236;Copainalá Zoque;mixe1284;no;17.2157;-93.3183;17.22;83.97;North America;shifting;AGR;10000;
dime1235;Dime;sout2845;yes;6.20951;36.3329;5.717088;36.453122;Africa;shifting;AGR;574;570
east2326;Salaca Livonian;ural1272;yes;57.566;22.0262;68;30;Eurasia;extinct;AGR;15;1
east2363;Eastern Hongshuihe Zhuang;taik1256;yes;23.7;109;24;108;Eurasia;not endangered;AGR;1200000;1200000
elam1244;Elamite;elam1244;yes;31.1833;48.2333;31.1833;48.2333;Eurasia;extinct;AGR;0;0
ende1235;Ende (Papua New Guinea);paho1240;yes;-8.957786;142.240799;-8.934252;142.357933;Papunesia;not endangered;AGR;2440;2400
esee1247;Ese;koia1260;no;-9.09451;148.376;-9.1999125;147.7626625;Papunesia;not endangered;AGR;10000;10000
farn1234;Far Northwestern Nisu;sino1245;yes;25.646902;99.684187;26.1;94.75;Eurasia;not endangered;AGR;24000;
ghul1238;Uncunwee;nubi1251;yes;11.6432;29.8122;15.4495675333333;29.9262171333333;Africa;shifting;AGR;16000;33000
guah1255;Guahibo;guah1252;yes;5.81736;-68.9839;6.5;108.67;South America;threatened;HG;23000;34000
guhu1244;Guhu-Samane;nucl1709;yes;-7.99922;147.228;-5.43;143.09;Papunesia;not endangered;AGR;13000;13000
halk1245;Halkomelem;sali1255;yes;49.250402;-122.443668;48.75;236.75;North America;shifting;HG;285;300
high1242;Highland Oaxaca Chontal;tequ1244;yes;16.1849;-95.7301;16.1782;-95.6692333333333;North America;shifting;;2420;4394
hitt1242;Hittite;indo1319;yes;40;35;34;71.55;Eurasia;extinct;AGR;0;0
hlep1236;Hlepho Phowa;sino1245;yes;23.591;103.733;26.1;94.75;Eurasia;threatened;;36000;
homs1234;Western Armenian;indo1319;yes;40.1897;44.4839;34;71.55;Eurasia;not endangered;AGR;1395240;150000
honi1244;Honi;sino1245;yes;23.2074;101.886;26.1;94.75;Eurasia;not endangered;AGR;140000;140000
ines1240;Ineseño;chum1262;yes;34.6169;-120.08;34.5459;-119.963;North America;extinct;;0;
iris1253;Irish;indo1319;yes;53.2186;-7.61509;34;71.55;Eurasia;shifting;AGR;1171000;170000
jama1261;Madi;araw1282;yes;-7.62223;-66.5662;-6;109.5;South America;shifting;AGR;1080;1080
juho1239;South-Eastern Ju;kxaa1236;no;-19.688;20.7673;-20.7386728333333;20.1579911666667;Africa;threatened;HG;44000;4000
katc1249;Katcha-Kadugli-Miri;kadu1256;yes;10.8423;29.4914;11.42;209.17;Africa;threatened;AGR;75000;75000
kath1251;Thou-Kathu;sino1245;yes;24.2;105.1;26.1;94.75;Eurasia;shifting;AGR;5000;5000
kats1235;Katso;sino1245;yes;24.6;102.4;26.1;94.75;Eurasia;shifting;AGR;4000;4000
