glottocode	longitude	longitude_180	latitude	elevation
boga1251	12.936	12.936	10.188	505
arap1274	251.19	-108.81	43.3879	1922
waur1244	306.3029	-53.6971	-13.296	398
jama1261	293.4338	-66.5662	-7.62223	112
atak1252	266.9173	-93.0827	30.9121	62
ahte1237	215.111	-144.889	61.7068	536
nort2770	13.6567	13.6567	9.9249	391
taro1264	121.358	121.358	23.9032	1136
mali1284	152.214	152.214	-4.71826	246
muin1242	287.5751	-72.4249	-0.8652	174
pawn1254	263.1063	-96.8937	36.2862	298
chib1270	285.8334	-74.1666	6.24999	428
ines1240	239.92	-120.08	34.6169	239
moha1256	245.401	-114.599	34.8866	640
bank1259	357.08	-2.92	15.06	311
elam1244	48.2333	48.2333	31.1833	12
nort2943	216.23	-143.77	69.582	601
guah1255	291.0161	-68.9839	5.81736	93
pana1310	110.096687	110.096687	26.263819	554
chua1248	105.1	105.1	26.55	1787
muru1274	286.1669	-73.8331	-1.13669	178
sout2774	6.32192	6.32192	4.44235	15
anci1242	21.9129	21.9129	39.8155	630
chur1257	22.8442	22.8442	43.7171	262
prus1238	14.757	14.757	52.394	38
tokh1243	82.9	82.9	41.65	1194
oldh1241	10	10	52	194
midd1343	10.599	10.599	48.254	522
olde1238	358.69	-1.31	51.06	63
homs1234	44.4839	44.4839	40.1897	1068
lati1261	12.4502	12.4502	41.9026	141
iris1253	352.38491	-7.61509	53.2186	81
oldi1245	352	-8	53	104
logu1236	9.09957	9.09957	40.49	472
oldn1244	10.38	10.38	63.42	238
hitt1242	35	35	40	1100
midd1317	358.89	-1.11	51.65	107
onei1249	284.291894	-75.708106	43.438742	305
katc1249	29.4914	29.4914	10.8423	518
tima1241	29.1632	29.1632	11.7176	635
klam1254	238.296	-121.704	42.5861	1518
esee1247	148.376	148.376	-9.09451	606
kwaz1243	298.8167	-61.1833	-11.6667	259
juho1239	20.7673	20.7673	-19.688	1156
anga1316	301.55	-58.45	-22.85	93
maib1239	132.591	132.591	-1.3679	361
mand1436	344.3460533333	-15.6539466667	12.8165233333	32
misk1235	275.7058	-84.2942	15.1576	31
nort2968	239.412	-120.588	38.4179	1129
copa1236	266.6817	-93.3183	17.2157	683
alab1237	265.37152	-94.62848	30.76738	80
chec1245	45.5	45.5	43.5	208
natc1249	268.67	-91.33	31.75	43
masa1300	36.4573	36.4573	-3.1419	1194
roto1249	155.154	155.154	-5.94339	349
ghul1238	29.8122	29.8122	11.6432	664
guhu1244	147.228	147.228	-7.99922	1220
ende1235	142.240799	142.240799	-8.957786	21
achu1247	238.809	-121.191	41.0979	1254
ngar1287	117.203	117.203	-20.9235	147
nezp1238	243.592	-116.408	46.3073	844
halk1245	237.556332	-122.443668	49.250402	327
kats1235	102.4	102.4	24.6	1958
phol1237	102.228	102.228	23.4674	1492
farn1234	99.684187	99.684187	25.646902	2249
honi1244	101.886	101.886	23.2074	1349
xish1235	100.711	100.711	24.8709	1699
