cldf_id	cldf_glottocode	cldf_parameterReference	cldf_codeReference
abrahammonpa-MonpaKalaktang	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaBalemu	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaTomko	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaNamsu	kala1376	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaTembang	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaDirangDum	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaSangti	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaDirang	tsha1245	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaTawangMonastery	dakp1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaZimithang	dakp1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MonpaChangprong	dakp1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-MijiNafra	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-HrusoAkaJamiri	hrus1242	GreenAndBlue	GreenAndBlue-None
abrahammonpa-NamreiNabolang	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-NamreiBisai	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-DammaiRurang	miji1239	GreenAndBlue	GreenAndBlue-None
abrahammonpa-DammaiDibin	miji1239	GreenAndBlue	GreenAndBlue-None
allenbai-Eryuan	eryu1239	GreenAndBlue	GreenAndBlue-False
allenbai-Heqing	heqi1238	GreenAndBlue	GreenAndBlue-False
allenbai-Jianchuan	jian1239	GreenAndBlue	GreenAndBlue-False
allenbai-Lanping	lanp1241	GreenAndBlue	GreenAndBlue-False
allenbai-Luobenzhuo	nuji1238	GreenAndBlue	GreenAndBlue-False
allenbai-Qiliqiao	qili1234	GreenAndBlue	GreenAndBlue-False
allenbai-Xiangyun	xian1250	GreenAndBlue	GreenAndBlue-False
allenbai-Yunlong	yunl1238	GreenAndBlue	GreenAndBlue-False
allenbai-Zhoucheng	zhou1234	GreenAndBlue	GreenAndBlue-False
