glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
here1252	-21.02	20.57	20.57	224.564935064935	7.62812132989087	234.363636363636	230.238095238095	232.545454545455	222.772727272727	232.636363636364	229.5	224	219.238095238095	216	216.666666666667	210.818181818182	226
sgaw1245	17.99	97.71	97.71	223.135461760462	5.82523373217881	221.818181818182	222.904761904762	220.636363636364	209.863636363636	227.5	230.954545454545	231.727272727273	226.857142857143	220.5	220.190476190476	220.863636363636	223.809523809524
nucl1310	20.79	93.97	93.97	221.91130952381	5.92366021099897	219.590909090909	222.047619047619	218.636363636364	207.590909090909	224	228.454545454545	230.318181818182	216.571428571429	223.15	223.571428571429	223.909090909091	225.095238095238
cent1989	12.05	105.02	105.02	219.997601010101	6.32825501148081	215.136363636364	224.904761904762	223.045454545455	212.863636363636	219.136363636364	221.681818181818	220.045454545455	206.714285714286	226.35	216.142857142857	227.045454545455	226.904761904762
monn1252	15.49	98.12	98.12	220.204022366522	6.87463743641762	213.227272727273	224.333333333333	222.545454545455	211.727272727273	228.454545454545	210.909090909091	231.818181818182	225.761904761905	220.55	220.904761904762	219.454545454545	212.761904761905
viet1252	20.68	105.77	105.77	217.612734487734	6.7994946688014	212.5	218.380952380952	215.090909090909	203.727272727273	215.727272727273	211.272727272727	223.681818181818	213.571428571429	225	225.190476190476	224.590909090909	222.619047619048
mlab1235	18.55	101.16	101.16	222.383134920635	5.63873733369354	220.454545454545	222.571428571429	220.181818181818	209.136363636364	225.545454545455	229.090909090909	230.318181818182	216.142857142857	224.05	223.047619047619	223.772727272727	224.285714285714
laoo1244	19	102.46	102.46	222.846717171717	5.2595333135797	219.818181818182	222.428571428571	220	208.818181818182	224.818181818182	228.272727272727	229.545454545455	225.619047619048	223.6	222.904761904762	223.954545454545	224.380952380952
thai1261	14.19	100.67	100.67	222.370274170274	4.90998204066084	223.318181818182	224.619047619048	222.727272727273	211.772727272727	217.727272727273	221.090909090909	221.272727272727	228.571428571429	226.4	226.666666666667	217.181818181818	227.095238095238
shan1277	21.6	98.03	98.03	219.810353535354	6.68517647531929	219.227272727273	221.47619047619	218.181818181818	206.954545454545	224.363636363636	218.863636363636	230.681818181818	227.285714285714	223.8	221.761904761905	212.318181818182	212.809523809524
soca1235	3.68	12.53	12.53	220.157178932179	8.32015074799469	216.818181818182	225.619047619048	225.272727272727	204.409090909091	219.681818181818	230	228.590909090909	204.047619047619	221.7	220.428571428571	221.318181818182	224
halh1238	48.32	106.29	106.29	173.22702020202	43.2999931452039	114.818181818182	157.52380952381	123.045454545455	110.454545454545	139.227272727273	161.227272727273	205.636363636364	214.714285714286	216.3	216.714285714286	214.681818181818	204.380952380952
solo1263	48.17	119.49	119.49	166.25386002886	47.4037997660396	108.681818181818	154.095238095238	120.136363636364	95.0454545454545	121.409090909091	141.227272727273	195.954545454545	213.47619047619	215.7	216.238095238095	214.272727272727	198.809523809524
blackhmong	22.3	103.92	103.92	215.896825396825	7.01707829152726	209.409090909091	216.619047619048	213.636363636364	200.727272727273	215.272727272727	211.227272727273	224.045454545455	211.47619047619	221.5	222.428571428571	223.181818181818	221.238095238095
ngal1292	-13.98	133.94	133.94	223.0704004329	6.53248909342738	221.181818181818	233.095238095238	232.954545454545	221.318181818182	220.590909090909	220.545454545455	216.409090909091	211.952380952381	220.15	221.333333333333	226.409090909091	230.904761904762
alya1239	-21.04	136.84	136.84	221.28437950938	4.18036831884493	224.272727272727	228.761904761905	220.772727272727	223.363636363636	222.636363636364	220.136363636364	223.409090909091	217.238095238095	214.3	215.428571428571	220.045454545455	225.047619047619
remb1249	-12.96	134.31	134.31	222.889502164502	6.26088968128932	219.318181818182	233.428571428571	222.090909090909	220.318181818182	209.227272727273	219.909090909091	227.090909090909	223.047619047619	220.7	221.857142857143	226.590909090909	231.095238095238
gami1243	-29.9	149.54	149.54	207.710912698413	14.1822762293107	231.045454545455	222	215.863636363636	209	218.409090909091	203.590909090909	216.136363636364	198.142857142857	182.65	186.619047619048	202.454545454545	206.619047619048
kayt1238	-21.58	133.6	133.6	222.467748917749	7.03492770001976	224.409090909091	229.047619047619	221.409090909091	223.454545454545	233.818181818182	230.681818181818	223.772727272727	217.428571428571	214.6	215.380952380952	210.181818181818	225.428571428571
pint1250	-23.3	130.64	130.64	221.581457431457	5.38073265514398	224.681818181818	228.666666666667	220.909090909091	223.181818181818	223.545454545455	229.863636363636	222.5	215.904761904762	212.8	214.047619047619	218.590909090909	224.285714285714
guda1242	-17.42	134.73	134.73	224.861165223665	5.01974303133519	223.045454545455	230.952380952381	232.363636363636	222.772727272727	222.636363636364	231.818181818182	226.363636363636	220.666666666667	217.65	218.52380952381	223.636363636364	227.904761904762
wikm1247	-13.98	141.82	141.82	218.883982683983	8.33582956117018	218.909090909091	222.333333333333	233.181818181818	210.454545454545	218.227272727273	219.863636363636	216.681818181818	201.047619047619	219.4	220.619047619048	215.318181818182	230.571428571429
yuul1239	-12.7	135.9	135.9	221.417117604618	6.0644306194861	218.863636363636	233.285714285714	221.818181818182	220.363636363636	218.681818181818	219.181818181818	215.818181818182	211.52380952381	219.75	220.857142857143	225.909090909091	230.952380952381
adny1235	-30.609369	138.65196	138.65196	213.149981962482	18.4588085166284	232.272727272727	222.380952380952	226.772727272727	220.090909090909	229.681818181818	224.363636363636	216.5	201.47619047619	179.25	176.380952380952	211.772727272727	216.857142857143
alaw1244	-15.460038	134.459692	134.459692	226.105663780664	5.32892245568006	232.409090909091	220.857142857143	232.954545454545	221.909090909091	231.818181818182	231.090909090909	227.045454545455	221.714285714286	218.9	219.952380952381	225.045454545455	229.571428571429
badi1246	-28.464884	117.551698	117.551698	217.323917748918	14.5866396756009	234.409090909091	225.142857142857	229.863636363636	222.363636363636	232.363636363636	225.818181818182	217.590909090909	200.857142857143	187.4	199.428571428571	213.363636363636	219.285714285714
bard1255	-16.64414	122.933671	122.933671	226.029761904762	5.68814869128115	220.863636363636	232.571428571429	233.772727272727	222.863636363636	231.863636363636	231.681818181818	227.136363636364	221.095238095238	218	219.095238095238	224.318181818182	229.095238095238
bayu1240	-23.854626	113.88269	113.88269	222.535209235209	9.64767152849686	236.090909090909	229.142857142857	232.590909090909	224.818181818182	234.909090909091	219.045454545455	221.727272727273	204.952380952381	212.1	213.333333333333	218.045454545455	223.666666666667
bili1250	-16.834598	130.751296	130.751296	225.117496392496	6.31876322531118	222.272727272727	231.095238095238	232.545454545455	222.045454545455	232.5	231.954545454545	227	221.238095238095	218.2	219.47619047619	214.272727272727	228.809523809524
buna1275	-17.701102	125.708644	125.708644	224.624422799423	6.99646685902926	223	232.809523809524	233.863636363636	223.5	222.545454545455	232.545454545455	227.090909090909	210.190476190476	217.9	218.809523809524	224	229.238095238095
