glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
here1252	-21.02	20.57	20.57	24437	23827	21962	19624	18021	16516	17640	20313	23164	24546	25207	25136	3155.91993383671	21699.4166666667
sgaw1245	17.99	97.71	97.71	17825	20985	22698	23739	19437	16422	15032	15081	16221	17701	17025	16254	2901.38153090537	18201.6666666667
nucl1310	20.79	93.97	93.97	17579	20655	22469	23727	21435	17201	16082	15901	17437	17622	16427	15994	2762.15997358896	18544.0833333333
cent1989	12.05	105.02	105.02	19702	21354	22528	21907	19605	18764	17401	18023	16754	18535	18111	18420	1820.31876995279	19258.6666666667
monn1252	15.49	98.12	98.12	18892	21055	22502	23766	18914	15981	14009	13884	15438	18202	18460	18018	3125.11228767961	18260.0833333333
viet1252	20.68	105.77	105.77	9724	10908	12670	15177	18105	18376	18473	17843	17089	15266	12737	10443	3312.48692964831	14734.25
mlab1235	18.55	101.16	101.16	16238	18461	20307	20922	19306	17067	15817	15453	16597	17014	15614	14427	2044.65171332134	17268.5833333333
laoo1244	19	102.46	102.46	15133	16523	18450	19296	18881	17340	16212	15897	17226	17643	15484	14005	1595.66018445107	16840.8333333333
thai1261	14.19	100.67	100.67	18374	19559	21252	21424	19694	17838	17274	16793	16756	17763	18067	17754	1591.02958851027	18545.6666666667
shan1277	21.6	98.03	98.03	16851	20535	22167	22470	20537	17461	15815	15834	16598	16165	15433	14846	2747.1584437654	17892.6666666667
soca1235	3.68	12.53	12.53	15082	16427	16616	16402	14432	12409	10893	11257	12444	13182	14409	14595	1981.25893555006	14012.3333333333
halh1238	48.32	106.29	106.29	6324	10108	14429	17908	20906	21407	19365	16879	14181	10315	6447	4960	5874.73806701717	13602.4166666667
solo1263	48.17	119.49	119.49	6065	9618	14722	18207	21347	22686	20667	18482	14519	10640	6868	4814	6332.61312511859	14052.9166666667
blackhmong	22.3	103.92	103.92	10512	12339	15075	17038	17764	16678	16239	16317	15972	13488	11878	10050	2678.23258659116	14445.8333333333
ngal1292	-13.98	133.94	133.94	21005	20336	20971	20701	18928	18139	19151	21160	23309	24170	23705	22189	1914.20261110564	21147
alya1239	-21.04	136.84	136.84	25787	24529	23569	20822	17495	16054	17317	20141	23343	25362	26320	26463	3771.37577581766	22266.8333333333
remb1249	-12.96	134.31	134.31	20369	19856	20434	20273	18664	17910	18869	20714	22813	23838	23578	21765	1908.04952567386	20756.9166666667
gami1243	-29.9	149.54	149.54	24691	22269	19761	15532	11788	10455	11402	14626	18831	21670	24408	25930	5545.91944108186	18446.9166666667
kayt1238	-21.58	133.6	133.6	26579	25165	24032	21042	17527	15932	17175	20089	23313	25328	26503	26906	3981.00730647941	22465.9166666667
pint1250	-23.3	130.64	130.64	27456	25311	23637	20256	16490	14950	16111	19120	22809	25448	26804	27480	4620.59866251117	22156
guda1242	-17.42	134.73	134.73	23525	22668	22543	21294	18849	17643	18806	21262	23816	24839	25115	24134	2501.24124943573	22041.1666666667
wikm1247	-13.98	141.82	141.82	21472	20357	19966	18863	17503	17109	18247	20308	23018	24246	24044	22530	2455.92295031395	20638.5833333333
