glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
here1252	-21.02	20.57	211	165	57	4224	331	45	286	253	151	253	151	398	98	0	97	241	2	203	2	-0.883676183916364	-2.9989367068048	-0.604846840151378	20.57
sgaw1245	17.99	97.71	262	122	51	2093	376	139	237	264	245	287	232	1775	339	7	91	976	27	288	28	1.84557947197075	-2.28127593275727	0.671309889057255	97.71
nucl1310	20.79	93.97	232	92	44	2797	328	123	205	246	208	262	190	1763	347	1	94	992	9	514	14	1.40521481832816	-1.31765461253789	1.42882128936143	93.97
cent1989	12.05	105.02	277	86	61	1220	347	208	139	275	263	294	261	1504	271	6	75	736	25	276	115	2.28600581273898	-1.7715160315934	-0.349549726028719	105.02
monn1252	15.49	98.12	241	102	57	1132	328	151	177	238	229	257	229	2589	536	2	97	1525	19	367	19	2.79482836706536	-1.10968884465217	2.3724632994168	98.12
viet1252	20.68	105.77	241	71	36	4470	332	138	194	286	179	292	179	1698	322	13	84	941	62	855	62	1.67012546831378	-0.783889406033257	1.61392452506437	105.77
mlab1235	18.55	101.16	217	123	54	2314	315	89	226	230	182	240	182	1291	241	7	80	676	31	419	31	0.534146762434176	-1.50068883467166	0.39670203079363	101.16
laoo1244	19	102.46	247	113	55	2571	333	128	205	266	208	271	208	3140	815	9	102	1962	50	912	50	3.99443019826436	-0.50037069263882	4.78073663959785	102.46
thai1261	14.19	100.67	280	96	57	1574	359	193	166	283	260	298	257	1426	296	5	78	696	33	287	52	2.12891764529386	-2.08864469174848	-0.192762276605466	100.67
shan1277	21.6	98.03	204	119	49	3181	305	64	241	230	167	234	156	1524	291	3	83	785	21	691	26	0.534962198146908	-1.07810683078046	1.35276747778564	98.03
soca1235	3.68	12.53	236	94	83	622	297	185	112	233	238	243	227	1600	289	21	61	653	95	339	448	2.24743480626831	-0.360184177352906	-0.635236922190436	12.53
halh1238	48.32	106.29	-14	135	25	14396	233	-293	526	159	-174	159	-213	263	73	2	112	185	7	185	7	-6.49352216340292	-0.382088964519435	1.60770546813091	106.29
solo1263	48.17	119.49	-13	133	23	15415	253	-306	559	173	-192	173	-224	354	105	4	108	241	13	241	13	-6.44635196011866	-0.359924384265769	1.85934791359019	119.49
blackhmong	22.3	103.92	188	76	41	3992	268	85	183	231	140	231	130	1888	421	10	85	1048	55	1048	73	1.20456235189426	0.346802505065288	2.76362152110966	103.92
ngal1292	-13.98	133.94	270	130	58	2792	371	147	224	286	228	300	228	1040	257	1	112	710	5	249	5	1.4078701386635	-3.12189075898669	0.218292442429022	133.94
alya1239	-21.04	136.84	245	159	50	5399	387	75	312	298	170	306	170	309	75	4	89	182	19	180	19	-0.490702963923148	-3.59157234418655	-1.14165443308161	136.84
remb1249	-12.96	134.31	261	111	59	2208	344	157	187	274	227	285	227	1224	281	1	108	819	6	535	6	1.77818122936467	-2.31205156117956	0.855626248256506	134.31
gami1243	-29.9	149.54	192	144	47	5702	341	40	301	262	128	262	116	606	88	30	32	220	107	220	109	-1.02766887402646	-1.50518368095933	-1.48212480915999	149.54
kayt1238	-21.58	133.6	238	140	47	5427	372	79	293	291	162	299	162	326	76	6	76	177	24	172	24	-0.583832024172724	-3.03498087614014	-1.25626253095528	133.6
pint1250	-23.3	130.64	225	154	48	5862	370	53	317	285	164	292	144	315	51	10	52	140	31	134	37	-0.965867400393742	-2.83495022106045	-1.66566979520845	130.64
guda1242	-17.42	134.73	263	148	54	4140	382	110	272	296	202	307	202	574	149	0	109	379	9	273	9	0.429683927366364	-3.59467012400753	-0.429930059712984	134.73
wikm1247	-13.98	141.82	267	109	61	1893	348	172	176	279	238	287	238	1447	382	1	122	1081	5	632	5	2.49710220198152	-2.27621101359738	1.75136111392643	141.82
yuul1239	-12.7	135.9	267	93	60	1910	338	184	154	281	244	289	239	1277	285	2	104	820	9	512	15	2.1012629291863	-2.08124357663507	0.691288144858459	135.9
adny1235	-30.609369	138.65196	181	144	46	6047	341	29	312	257	183	257	102	223	27	14	22	67	45	67	53	-1.65485220694416	-1.92789846047709	-2.14765702486927	138.65196
alaw1244	-15.460038	134.459692	269	142	56	3502	382	130	252	293	218	307	218	785	205	0	114	548	5	354	5	1.0182857579573	-3.44727945381628	0.0593457227422482	134.459692
badi1246	-28.464884	117.551698	209	147	46	6169	377	61	316	140	202	287	129	232	37	8	44	97	29	52	87	-1.52942431937455	-2.35654895243531	-2.18123688583934	117.551698
bard1255	-16.64414	122.933671	275	98	58	2326	340	173	167	294	264	297	239	693	218	1	127	537	4	277	29	1.50262032297473	-2.93658022871284	-0.0292690325577302	122.933671
bayu1240	-23.854626	113.88269	236	123	49	4457	362	111	251	189	249	293	178	227	46	1	80	117	7	78	89	-0.590403514767254	-2.76874380664154	-1.85157964275192	113.88269
bili1250	-16.834598	130.751296	268	148	54	4045	383	111	272	298	208	310	208	652	156	1	103	419	10	307	10	0.58192578179906	-3.50904684852731	-0.402642347720199	130.751296
buna1275	-17.701102	125.708644	272	147	54	3846	390	119	271	299	233	313	216	639	186	0	116	452	10	308	16	0.822309011980864	-3.719412277467	-0.199228895741828	125.708644
bura1267	-12.20424	134.579826	271	95	59	1855	338	179	159	282	248	290	242	1195	282	0	110	798	2	501	4	2.03610297278053	-2.26695233045198	0.71727382504069	134.579826
burd1238	-23.462142	115.053485	251	151	50	5297	404	104	300	316	243	316	181	235	51	2	79	112	8	112	66	-0.19738918503192	-3.76226403997716	-1.76236595879614	115.053485
darl1243	-32.801982	142.510907	182	138	47	5490	336	43	293	248	111	252	111	281	30	17	15	78	62	71	62	-1.64572998712018	-1.55688683435098	-2.14592036630745	142.510907
dhal1245	-22.645518	114.576484	252	143	51	4808	390	114	276	311	244	311	188	265	52	1	80	128	5	128	72	-0.0705705182772623	-3.56262395958978	-1.71445476139226	114.576484
