glottocode;language;colexification;exists_blue;macroarea;latitude;longitude;family;glottocode_family;status;to_lookin_glotto;subsistence;popsize_ethno;popsize_wiki
here1252;Herero;NA;no;Africa;-21.02;20.57;Atlantic-Congo;atla1278;alive;ok;AGR;237000;211700
sgaw1245;Sgaw Karen�;NA;yes;Eurasia;17.99;97.71;Sino-Tibetan;sino1245;alive;ok;AGR;1480000;3000000
nucl1310;Burmese;NA;yes;Eurasia;20.79;93.97;Sino-Tibetan;sino1245;alive;ok;AGR;32319700;36000000
cent1989;Khmer;NA;yes;Eurasia;12.05;105.02;AustroAsiatic;aust1305;alive;ok;AGR;13603400;16000000
monn1252;Mon;NA;yes;Eurasia;15.49;98.12;AustroAsiatic;aust1305;alive;ok;AGR;851000;900000
viet1252;Vietnamese;NA;no;Eurasia;20.68;105.77;AustroAsiatic;aust1305;alive;ok;AGR;68634000;76000000
mlab1235;Mlabri;NA;no;Eurasia;18.55;101.16;AustroAsiatic;aust1305;alive;ok;HG;324;130
laoo1244;Lao;NA;yes;Eurasia;19;102.46;Tai-Kadai;taik1256;alive;ok;AGR;3184500;30000000
thai1261;Central Thai;NA;yes;Eurasia;14.19;100.67;Tai-Kadai;taik1256;alive;ok;AGR;20362390;20700000
shan1277;Shan;NA;yes;Eurasia;21.6;98.03;Tai-Kadai;taik1256;alive;ok;AGR;3295000;3000000
soca1235;Swo (Cameroon);NA;no;Africa;3.68;12.53;Atlantic-Congo;atla1278;alive;ok;AGR;9000;9000
halh1238;Halh Mongolian;NA;yes;Eurasia;48.32;106.29;Mongolic-Khitan;mong1349;alive;ok;AGR;2341240;3000000
solo1263;Tungusic;NA;yes;Eurasia;48.17;119.49;Tungusic;tung1282;alive;ok;AGR;36000;36000
blackhmong;Black Hmong;NA;no;Eurasia;22.3;103.92;Hmong-Mien;hmon1336;alive;NA;AGR;NA;NA
ngal1292;Ngalkbun;NA;no;Australia;-13.98;133.94;Gunwinyguan;gunw1250;alive;ok;HG;20;3
alya1239;Alyawarr;NA;no;Australia;-21.04;136.84;Pama-Nyungan;pama1250;alive;ok;HG;1450;1450
remb1249;Rembarrnga;NA;no;Australia;-12.96;134.31;Gunwinyguan;gunw1250;alive;ok;HG;43;43
gami1243;Yuwaalaraay-Gamilaraay;;yes;Australia;-29.9;149.54;Pama-Nyungan;pama1250;just_extinct;ok;AGR;3;0
kayt1238;Kaytetye;NA;yes;Australia;-21.58;133.6;Pama-Nyungan;pama1250;alive;ok;HG;200;120
pint1250;Pintupi-Luritja;NA;no;Australia;-23.3;130.64;Pama-Nyungan;pama1250;alive;ok;HG;390;147
guda1242;Wambaya-Gudanji;NA;no;Australia;-17.42;134.73;Mirndi;mirn1241;just_extinct;ok;HG;0;0
wikm1247;Wik-Mungkan;NA;no;Australia;-13.98;141.82;Pama-Nyungan;pama1250;alive;ok;HG;840;450
yuul1239;Yuulngu;NA;no;Australia;-12.7;135.9;Pama-Nyungan;pama1250;alive;ok;HG;5000;5000
adny1235;Adnyamathanha;NA;no;Australia;-30.609369;138.65196;Pama-Nyungan;pama1250;alive;ok;HG;130;140
