glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
here1252	-21.02	20.57	0.00831479522413715	0.00688499980606139	0.00358474128335398	0.0061399998376146	0.00833833004690072	0.00717915969693826	0.00359138229505424	0.00582512609576548
sgaw1245	17.99	97.71	0.0147297751735939	0.0165100004523993	0.00443924457405723	0.0087150011677295	0.0147168424820468	0.0163990756587332	0.00458756229089516	0.00834148928697687
nucl1310	20.79	93.97	0.0154918553806963	0.0170950004830956	0.0046074750039559	0.0091000001411885	0.015476599892395	0.0167488854494877	0.00478340128765776	0.0088622698870798
cent1989	12.05	105.02	0.0174960502128102	0.0186100006103516	0.00269015782668202	0.00439249956980348	0.0174917937317011	0.018812166669199	0.0027238977506485	0.00392301174967239
monn1252	15.49	98.12	0.0160053457938881	0.0176900001242757	0.0037757583820302	0.00725750019773841	0.0159958491966213	0.0174892285010881	0.003903128813897	0.00700730482801898
viet1252	20.68	105.77	0.0155615658691426	0.0161650003865361	0.00379323041978022	0.00712000019848347	0.0155587473050181	0.0161099381900082	0.00391251679951391	0.00669892788411946
mlab1235	18.55	101.16	0.0151943570086494	0.0166400000452995	0.00370966395400776	0.00668500107713044	0.0151934702713043	0.0164824548668952	0.0037955711682042	0.00655827609039584
laoo1244	19	102.46	0.0158088120169469	0.0170149998739362	0.00354640222702452	0.00640499917790294	0.0158076628595583	0.0169453576996198	0.00363322070719294	0.0061592312477943
thai1261	14.19	100.67	0.017261761665075	0.0186249995604157	0.00308793609800985	0.00499999942258	0.0172615322306267	0.0187364944463803	0.00312105122127393	0.00470059792860411
shan1277	21.6	98.03	0.0127428171234661	0.0140400002710521	0.00486720409980349	0.00971999950706959	0.0127270494537687	0.0139283715592076	0.00504314923876116	0.00936015559030542
soca1235	3.68	12.53	0.017001043700142	0.0170099996030331	0.000744196065133516	0.00080999918282032	0.017000011320393	0.0170419048388592	0.000606120871742247	0.000686814326197944
halh1238	48.32	106.29	0.00429835279680716	0.00335234997328371	0.00312109342426443	0.00525750010274351	0.00429353393902357	0.00340794931334029	0.00322739009274719	0.00478217151956212
solo1263	48.17	119.49	0.0041349285470725	0.00301500002387911	0.00359836443966533	0.0056099999928847	0.00412783939718959	0.00300171596528445	0.00366309517499452	0.00495950137883483
blackhmong	22.3	103.92	0.0136406674942041	0.0139999999664724	0.0037453249513914	0.0073125003837049	0.0136386584393665	0.013919988168507	0.00387261869909883	0.00686087289068382
ngal1292	-13.98	133.94	0.013111967248256	0.0125049999915063	0.00516702734332664	0.0102150004822761	0.013128712545462	0.0127215979090478	0.00528216505066547	0.00944086389629067
alya1239	-21.04	136.84	0.00609544557242465	0.00524499989114702	0.0026798340938863	0.00320750020910054	0.00609918390970395	0.00530895833637462	0.00257850183388065	0.00283127187220897
remb1249	-12.96	134.31	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
gami1243	-29.9	149.54	0.00870337378774229	0.00812999997287989	0.00280377999499272	0.00472999969497323	0.00871625274572569	0.00825880625375753	0.00284607634158353	0.00438501495389371
kayt1238	-21.58	133.6	0.0057905103665579	0.00509000010788441	0.00231748880393864	0.00270250008907169	0.00579468641595705	0.00519678959487161	0.00218998551162587	0.00266351876780391
pint1250	-23.3	130.64	0.00499523018643104	0.00453000003471971	0.00184158769106717	0.00218750012572855	0.00499865466413144	0.00459549306186899	0.00173420576660906	0.00209528820495406
guda1242	-17.42	134.73	0.00885847541297371	0.00781999994069338	0.00432465823466612	0.00679500005207956	0.00887043300129244	0.00781887572763177	0.00434240319998564	0.00637381803325196
wikm1247	-13.98	141.82	0.0154439481246635	0.0146449999883771	0.00344000379899137	0.00679499912075698	0.0154624404276494	0.0148014319387989	0.00352766419356366	0.00608882634292564
yuul1239	-12.7	135.9	0.0161198236716863	0.0156450001522899	0.00334891949860665	0.00644250074401498	0.016136825557403	0.0159249534222504	0.00337124140143762	0.00598814595206123
adny1235	-30.609369	138.65196	0.00505506188287411	0.00484500010497868	0.00107169870582083	0.00131749978754669	0.00505898476360835	0.00486288195113755	0.0010343791868582	0.00126659475144051
alaw1244	-15.460038	134.459692	0.0113968753908806	0.0106399999931455	0.00470401461962822	0.00806500040926039	0.0114120881369164	0.0106078339999335	0.00476978584097622	0.00760538329228034
badi1246	-28.464884	117.551698	0.00569582272332926	0.00537999998778105	0.00135506804510861	0.00155999977141619	0.00570179118643227	0.00543375001224275	0.0012625791448835	0.00149973993635892
