glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
abua1244	4.831	6.615	6.615	222.111724386724	3.92366224184497	224.5	220.2	222.142857142857	222.65	228.142857142857	227.809523809524	226.045454545455	222.190476190476	217.85	216.142857142857	218.619047619048	219.047619047619
acol1236	3.577	32.515	32.515	230.19967057796	2.1155589966883	230.904761904762	230.47619047619	228.909090909091	228.333333333333	233.545454545455	233.136363636364	231	229.578947368421	227.75	226.857142857143	229.47619047619	232.428571428571
ainu1240	43.634	142.462	142.462	176.354076479076	40.4114765663253	122.545454545455	164	127.727272727273	116.571428571429	142.181818181818	171.181818181818	201.272727272727	213.285714285714	215.5	215.809523809524	215.363636363636	210.809523809524
alba1267	41	20	20	189.437031024531	35.9383450944756	135.681818181818	190.380952380952	150.045454545455	130.142857142857	157.590909090909	198	213.5	217.95	221.5	222.952380952381	220.5	215
alge1239	35.421	3.23	3.23	204.118867243867	25.4183944332979	163.227272727273	213.190476190476	179.409090909091	156.047619047619	188.409090909091	214.136363636364	217.818181818182	221.7	225.3	226.47619047619	224.045454545455	219.666666666667
amha1245	11.708	39.543	39.543	233.902922077922	3.47595604691816	229.590909090909	233.142857142857	229.636363636364	227.47619047619	234.636363636364	238.714285714286	238.333333333333	236.2	234.2	233.857142857143	235.142857142857	235.904761904762
anga1288	25.684	93.867	93.867	220.10762987013	3.54687902155163	214.952380952381	219.190476190476	216.318181818182	213.904761904762	218.809523809524	223.454545454545	224.909090909091	223.7	222.15	221	222.045454545455	220.857142857143
mesc1238	33.129	254.434	-105.566	212.992297979798	17.8371951832775	181.727272727273	215.380952380952	206.727272727273	173.285714285714	211.818181818182	217.454545454545	222.545454545455	225.47619047619	227.65	226.666666666667	225.318181818182	221.857142857143
stan1318	27.963	43.853	43.853	221.797438672439	8.53750835454306	211.181818181818	220.333333333333	213.909090909091	205.047619047619	216.545454545455	221.681818181818	226.318181818182	228.85	230.65	230.857142857143	229.909090909091	226.285714285714
nucl1235	40	45	45	192.107215007215	38.3999748760102	129.272727272727	209.714285714286	158.090909090909	130.238095238095	154.136363636364	191.181818181818	214.590909090909	219.380952380952	225.7	228.285714285714	225.409090909091	219.285714285714
assa1263	26.088	91.293	91.293	218.945598845599	3.97713716510557	212.761904761905	218.142857142857	214.636363636364	212	217	221.5	222.909090909091	222.9	221.8	221.333333333333	222.363636363636	220
assy1241	36.75	43	43	200.907593795094	30.9222751265213	149.863636363636	213	171.727272727273	146.333333333333	176.181818181818	211.727272727273	217.136363636364	222.428571428571	227.35	228.619047619048	226	220.52380952381
awng1244	10.982	36.692	36.692	232.883485228222	3.20820888338902	230.681818181818	231.857142857143	229.52380952381	228.190476190476	235.545454545455	238.454545454545	237.47619047619	234.473684210526	232.1	230.095238095238	231.727272727273	234.47619047619
cent2142	-17	291.5	-68.5	238.603787878788	9.92998188460398	249.727272727273	243.571428571429	246.681818181818	248.428571428571	249.5	245.136363636364	236.5	228	223.7	224.47619047619	230.047619047619	237.47619047619
kara1465	43.565	42.261	42.261	189.475126262626	36.2320917603984	135	192	149.545454545455	130.666666666667	157.227272727273	194.590909090909	213.818181818182	218.047619047619	221.55	224	221.636363636364	215.619047619048
basq1248	43.28	-1.32	-1.32	180.8954004329	38.173042702481	127.090909090909	171.619047619048	138	123.52380952381	145.136363636364	181.454545454545	207.454545454545	214	216.55	217.571428571429	215.772727272727	212.571428571429
bela1254	53.231	25.604	25.604	148.497673160173	58.0407696916025	62.5454545454545	133.238095238095	102.772727272727	50.6190476190476	112.818181818182	135.772727272727	174.636363636364	208.952380952381	212.55	210.666666666667	208.590909090909	168.809523809524
krio1252	-18.135	137.669	137.669	226.679816017316	6.11041366440331	232.952380952381	230.333333333333	232.181818181818	232.428571428571	231.772727272727	231	225.590909090909	219.8	216.65	217.52380952381	222.590909090909	227.333333333333
bhil1251	20.85	73.959	73.959	224.41369047619	4.64660248508836	219.590909090909	224.190476190476	220.227272727273	217.761904761905	224.818181818182	229.681818181818	231.681818181818	231.190476190476	226.25	221.47619047619	220.809523809524	225.285714285714
biet1238	24.274	92.943	92.943	221.024783549784	3.81847253074362	215.52380952381	219.904761904762	216.590909090909	214.095238095238	219.952380952381	224.4	225.619047619048	224.05	223.25	223.190476190476	223.863636363636	221.857142857143
bulg1262	43.365	25.047	25.047	179.147366522367	41.321529625659	120.045454545455	175.380952380952	135.181818181818	118.142857142857	137.590909090909	172.818181818182	208.636363636364	215.5	218.5	219.52380952381	217.590909090909	210.857142857143
yuec1235	23	113	113	218.705194805195	4.96732585938221	208.136363636364	219.714285714286	215.772727272727	213.428571428571	214.181818181818	218.954545454545	220.227272727273	220.238095238095	221.8	224.666666666667	224.818181818182	222.52380952381
cham1312	13.438	144.745	144.745	227.610010822511	3.64988889229129	224.047619047619	226.047619047619	222.571428571429	221.52380952381	228.454545454545	233.227272727273	232.681818181818	230.65	228.8	228	227.363636363636	227.952380952381
mand1415	40.021	116.228	116.228	191.926208513709	33.0806342920089	141.090909090909	199.809523809524	155.227272727273	135.904761904762	164.545454545455	198.5	214.909090909091	218.52380952381	220.45	220.47619047619	218.772727272727	214.904761904762
chot1239	24.372	94.241	94.241	220.15744949495	3.69237737254226	215.380952380952	218.619047619048	215.954545454545	214	219.5	223.952380952381	225.636363636364	224.65	221.8	220.714285714286	221.181818181818	220.5
chuv1255	55.487	47.163	47.163	143.88230044809	59.674993891851	63.2272727272727	125.809523809524	76.7619047619048	49.5789473684211	115.227272727273	130.318181818182	168.363636363636	207.190476190476	212.5	213.190476190476	203.181818181818	161.238095238095
czec1258	49.873	15.104	15.104	163.042117604618	45.1043084097924	103.363636363636	147.904761904762	118.636363636364	96.1428571428571	123.136363636364	150.227272727273	188.772727272727	203.238095238095	213.75	213.809523809524	213	184.52380952381
dani1285	54.866	9.363	9.363	147.300559163059	53.3702559749908	70.1818181818182	130.857142857143	105.909090909091	55.75	115.590909090909	135.909090909091	169.090909090909	199.857142857143	207.4	205.095238095238	204.727272727273	167.238095238095
dubl1239	21.516	73.218	73.218	223.539664502164	4.63697448981457	218.136363636364	223.52380952381	218.863636363636	216.52380952381	223.181818181818	228.181818181818	230.590909090909	230.333333333333	225.95	221.52380952381	220.857142857143	224.809523809524
dutc1256	52	5	5	158.864628427128	48.0051881756917	95.7727272727273	140.285714285714	116.772727272727	81.7142857142857	123	145	179.318181818182	208.380952380952	212.75	212.666666666667	211	179.714285714286
stan1293	53	-1	-1	155.318813131313	45.6208686227005	99.1818181818182	137.47619047619	115.409090909091	79.4761904761905	120.272727272727	143.363636363636	172.681818181818	202.3	203.95	210	205	174.714285714286
erzy1239	52.855	45.39	45.39	152.98446969697	55.5510162807612	84.0454545454545	135.857142857143	106.380952380952	58.05	115.454545454545	128.863636363636	177.772727272727	211.52380952381	214.4	215.190476190476	212.227272727273	176.047619047619
peno1244	17.067	262.99	-97.01	226.998386116807	4.52511730365191	221.818181818182	224.761904761905	221.909090909091	219.761904761905	226.954545454545	232.454545454545	234.047619047619	232.684210526316	228.157894736842	227.428571428571	227.954545454545	226.047619047619
west2369	28.659	55.159	55.159	223.176406926407	9.49093910716926	211.772727272727	221.904761904762	215	204.904761904762	216.181818181818	221.409090909091	228.318181818182	231.85	233.15	233.238095238095	231.863636363636	228.52380952381
fiji1243	-18	178.33	178.33	224.743721045037	6.92757132483634	232.904761904762	227.578947368421	230.380952380952	231.35	233	229.190476190476	222.545454545455	217.052631578947	214.45	215.285714285714	219.285714285714	223.9
taga1270	14.06	121.747	121.747	225.095238095238	4.47672916103788	220.142857142857	222.52380952381	218.954545454545	217.428571428571	225.227272727273	230.545454545455	231.227272727273	229.25	227.15	226.047619047619	226.545454545455	226.1
finn1318	64.763	25.558	25.558	121.360191801819	60.4332038736014	25	103.333333333333	24.3157894736842	NA	67.0454545454545	120.090909090909	144.727272727273	169.904761904762	189.8	191	165.363636363636	134.380952380952
