glottocode	latitude	longitude	longitude_180	UV_mean	UV_sd	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec
abua1244	4.831	6.615	6.615	222.833333333333	4.98786405977427	226	221	221	216	230	231	227	225	218	218	223	218
acol1236	3.577	32.515	32.515	230.75	3.33371209969253	232	228	229	229	235	237	233	230	229	225	229	233
ainu1240	43.634	142.462	142.462	177.25	41.1187305251512	122	164	124	116	148	172	211	215	215	215	213	212
alba1267	41	20	20	189.666666666667	36.5571366825172	135	189	145	124	174	198	213	216	223	224	220	215
alge1239	35.421	3.23	3.23	207.25	22.7680996931313	170	214	186	159	210	215	217	220	225	228	224	219
amha1245	11.708	39.543	39.543	233.25	3.72033722811644	229	232	229	228	232	238	239	237	235	231	233	236
anga1288	25.684	93.867	93.867	219.416666666667	3.3967453227875	213	220	217	215	218	220	223	224	219	219	221	224
mesc1238	33.129	254.434	-105.566	214.583333333333	15.3294626207974	184	215	211	185	211	217	221	227	230	225	226	223
stan1318	27.963	43.853	43.853	222.583333333333	7.25457013742288	212	222	216	212	216	220	226	229	231	231	230	226
nucl1235	40	45	45	194.583333333333	36.3629640089357	127	213	168	143	155	196	215	219	227	228	225	219
assa1263	26.088	91.293	91.293	218.5	3.87298334620742	211	217	216	213	217	220	223	224	219	221	221	220
assy1241	36.75	43	43	201.75	29.9670273346011	143	214	186	153	175	211	217	221	227	228	226	220
awng1244	10.982	36.692	36.692	232.333333333333	4.16333199893227	231	229	229	228	236	239	239	235	233	228	228	233
cent2142	-17	291.5	-68.5	238.416666666667	10.219930024074	252	242	246	246	251	246	237	228	224	224	229	236
kara1465	43.565	42.261	42.261	189	37.7455596425232	131	211	150	130	157	174	213	217	223	224	223	215
basq1248	43.28	-1.32	-1.32	182.083333333333	35.7934944148269	132	166	141	124	158	193	198	213	216	217	216	211
bela1254	53.231	25.604	25.604	149.25	53.6641491974941	69	132	110	61	115	140	166	211	213	212	192	170
krio1252	-18.135	137.669	137.669	226.583333333333	6.6120871870913	236	230	230	233	233	231	226	219	216	218	222	225
bhil1251	20.85	73.959	73.959	223.833333333333	4.85860685856148	219	224	220	219	224	230	232	231	226	220	221	220
biet1238	24.274	92.943	92.943	220.5	3.65563077506965	213	221	217	216	219	222	224	225	222	220	223	224
bulg1262	43.365	25.047	25.047	177.666666666667	41.3264901471053	124	175	128	112	146	169	211	214	220	220	220	193
yuec1235	23	113	113	210.166666666667	31.7742987429473	110	220	216	214	213	220	221	219	217	225	225	222
cham1312	13.438	144.745	144.745	228.5	3.60555127546399	225	226	224	222	230	233	233	231	230	231	230	227
mand1415	40.021	116.228	116.228	191.416666666667	33.0164100612609	138	198	159	138	160	198	214	218	219	220	219	216
chot1239	24.372	94.241	94.241	220.083333333333	4.10007390916384	213	220	216	215	218	222	227	225	222	220	220	223
chuv1255	55.487	47.163	47.163	141.416666666667	64.3010792123957	66	129	54	34	114	134	163	211	215	213	198	166
czec1258	49.873	15.104	15.104	163	45.1925174820305	113	135	117	91	132	153	187	213	213	213	214	175
dani1285	54.866	9.363	9.363	147.666666666667	48.7840013516602	87	124	111	67	116	143	155	211	211	197	198	152
dubl1239	21.516	73.218	73.218	223.333333333333	4.96044963748858	217	223	219	218	222	229	231	231	227	222	221	220
dutc1256	52	5	5	157.75	46.53859590803	111	128	118	78	129	146	163	212	211	211	212	174
stan1293	53	-1	-1	155	42.1728046796209	94	134	116	99	129	147	159	211	196	199	211	165
erzy1239	52.855	45.39	45.39	149.666666666667	61.0131630109935	83	137	80	44	114	124	175	213	217	216	211	182
peno1244	17.067	262.99	-97.01	227.166666666667	5.0602431370499	223	221	222	220	229	233	234	234	230	225	229	226
west2369	28.659	55.159	55.159	223.916666666667	8.47947611303406	211	223	217	212	215	222	227	232	233	234	232	229
fiji1243	-18	178.33	178.33	225.833333333333	7.57787849099221	233	230	230	235	236	230	226	217	215	216	220	222
taga1270	14.06	121.747	121.747	225.583333333333	4.77604502288306	222	220	221	216	228	231	231	228	228	229	228	225
finn1318	64.763	25.558	25.558	105.5	66.6899201869777	0	112	20	0	67	121	148	162	178	172	150	136
stan1290	48	2	2	168.166666666667	39.9655154382178	117	142	128	113	140	167	170	214	216	213	215	183
pula1263	13.869	-13.448	-13.448	226	3.81385035698237	222	226	223	221	227	230	233	231	227	226	223	223
scot1245	56.757	-5.244	-5.244	135.583333333333	49.4266367887036	55	127	97	53	110	127	157	188	197	186	168	162
gami1242	21.07	73.684	73.684	223.333333333333	4.96044963748858	217	223	219	218	222	229	231	231	227	222	221	220
stan1295	48.649	12.468	12.468	165.166666666667	45.0107731212173	116	140	119	86	138	162	181	213	215	213	214	185
pare1266	19.075	83.972	83.972	223.75	4.9012985292397	218	219	218	220	223	230	232	231	224	224	223	223
mode1248	42.322	24.87	24.87	181.916666666667	39.7044955854746	132	179	130	119	149	178	212	213	220	221	220	210
guja1252	22.687	71.096	71.096	223.75	4.76969600708473	217	223	219	217	222	228	230	231	228	223	222	225
gusi1247	-0.789	34.768	34.768	231.416666666667	3.50216383328243	232	230	230	231	235	238	236	230	227	226	230	232
hadz1240	-3.83	35.05	35.05	230	3.86122919665369	231	233	231	231	235	236	231	227	224	224	227	230
hakk1236	25	116	116	213.916666666667	12.5586502845528	186	219	214	212	191	217	220	219	217	225	226	221
haus1257	11.151	8.78	8.78	228.083333333333	3.08834563931546	225	229	226	223	229	233	233	230	228	225	227	229
hind1269	25	77	77	222.75	4.95663008688179	215	221	218	216	220	226	229	230	228	223	223	224
hung1274	46.907	19.656	19.656	173.916666666667	40.378793564159	118	158	125	112	152	172	195	212	218	218	216	191
kala1399	69.376	307.136	-52.864	91.8333333333333	75.7913803366407	0	73	0	0	15	60	128	148	188	191	164	135
nort2945	64.78	198.193	-161.807	103.666666666667	65.2064321051136	0	110	31	0	60	117	138	152	182	181	143	130
ital1282	43.046	12.649	12.649	183.166666666667	39.2956933410204	125	171	135	120	162	187	212	215	219	222	218	212
teso1249	1.183	33.939	33.939	231.25	3.7446932147677	232	229	229	230	237	238	233	230	228	225	230	234
nucl1643	35	135	135	199.75	25.1509081708431	158	211	176	160	172	213	215	218	217	221	221	215
hebr1245	31.106	35.018	35.018	214.333333333333	17.4737898961082	174	218	212	186	211	214	221	225	229	230	228	224
jola1263	12.758	-15.735	-15.735	226.666666666667	3.44656174742132	224	226	224	222	227	230	233	232	228	225	224	225
kaba1278	43.508	43.392	43.392	187.5	38.6981324426057	131	210	146	127	153	171	214	216	222	224	222	214
kaya1330	-7.774	308.326	-51.674	226.666666666667	2.14617347995464	228	226	224	224	231	228	229	226	225	225	226	228
dhan1264	20.772	73.742	73.742	223.666666666667	5.28003673081806	219	223	220	219	223	231	232	232	226	219	219	221
chig1238	-1.044	29.912	29.912	227.083333333333	2.7122058561364	229	223	227	224	232	229	229	225	226	224	229	228
kiku1240	-0.29	36.719	36.719	231.25	4.91981152632349	232	232	226	230	240	238	235	231	228	223	227	233
kili1267	-8.726	151.072	151.072	226.833333333333	3.88079966767238	233	230	226	228	227	232	229	222	222	221	225	227
komi1268	64.053	54.946	54.946	108.916666666667	67.3248006894843	0	96	35	4	78	128	141	158	192	197	147	131
komi1269	59.66	54.796	54.796	132.166666666667	60.6582578254951	50	117	61	32	114	136	143	190	211	212	175	145
konk1267	19.241	73.917	73.917	224.916666666667	4.85158518299728	220	224	221	220	225	231	233	232	228	221	222	222
kore1280	37.5	128	128	194.416666666667	29.9832023680331	144	211	165	145	165	212	214	217	216	215	215	214
krah1246	-8.012	312.423	-47.577	226.666666666667	2.26969494679685	228	225	223	226	232	228	227	227	225	225	226	228
kurd1259	35.65	45.81	45.81	203.416666666667	30.9264768393842	138	216	195	168	162	210	218	224	230	230	228	222
laca1243	17.021	268.577	-91.423	224.666666666667	4.31347430803298	218	222	219	218	225	226	227	228	229	227	230	227
latv1249	56.826	24.309	24.309	139.666666666667	58.9843327939845	48	129	86	40	114	135	160	199	211	210	182	162
ling1263	1.403	19.783	19.783	225.833333333333	4.19595765065147	229	224	223	222	231	233	231	224	225	220	222	226
gand1255	0.669	32.152	32.152	228.25	2.83244192751189	227	227	228	229	232	234	231	226	226	224	227	228
luok1236	-0.933	34.49	34.49	231.416666666667	3.50216383328243	232	230	230	231	235	238	236	230	227	226	230	232
liby1240	22.003	15.001	15.001	225.833333333333	6.04277680500873	217	224	219	216	222	227	231	232	231	232	231	228
maha1287	31.009	77.532	77.532	224.916666666667	9.52945990392982	211	223	216	212	216	222	229	234	237	236	234	229
manx1243	54.26	-4.454	-4.454	149.25	48.7873400120825	73	132	113	75	116	141	164	210	198	210	191	168
maor1246	-38.288	176.541	176.541	190.166666666667	35.8198353717686	224	213	218	222	221	215	195	152	134	131	160	197
mara1378	17.934	76.667	76.667	225.916666666667	4.62126179804397	222	223	222	220	227	232	234	232	228	224	224	223
mari1278	55.83	48.41	48.41	140	65.9379873958721	59	129	51	30	114	133	163	211	215	213	197	165
yuca1254	18.776	271.043	-88.957	223.833333333333	4.60895044911792	217	220	218	217	224	225	230	228	227	226	227	227
