glottocode	latitude	longitude	longitude_180	UV_jan	UV_fev	UV_mar	UV_apr	UV_may	UV_jun	UV_jul	UV_aug	UV_sep	UV_oct	UV_nov	UV_dec	UV_sd	UV_mean
abua1244	4.831	6.615	6.615	15870	16791	17021	16601	15715	13858	12432	12525	13242	14703	15639	16068	1647.52045786719	15038.75
acol1236	3.577	32.515	32.515	20048	20055	19675	18651	18780	18174	16155	17734	19591	19765	19279	19292	1138.59387962841	18933.25
ainu1240	43.634	142.462	142.462	5746	9197	13068	15530	17682	17646	16703	14936	12898	9519	5596	4502	4857.84309523052	11918.5833333333
alba1267	41	20	20	6482	9064	12890	17540	21330	24352	25570	22810	17265	11586	7198	5441	7309.91023863971	15127.3333333333
alge1239	35.421	3.23	3.23	9541	12889	16779	20273	24349	25596	26564	24176	19798	14397	10444	8554	6576.69526019372	17780
amha1245	11.708	39.543	39.543	18952	20698	21257	21770	21692	19564	16151	16973	18204	20935	20201	18772	1834.82208492631	19597.4166666667
anga1288	25.684	93.867	93.867	15409	17407	19870	20460	19623	16860	16265	16123	16099	16340	15413	14610	1920.5459194687	17039.9166666667
mesc1238	33.129	254.434	-105.566	11786	14682	19521	23823	25614	26505	24382	22197	19648	16196	12660	10834	5629.75855018076	18987.3333333333
stan1318	27.963	43.853	43.853	12937	16260	18822	21639	24539	26533	26658	25233	21622	17631	14486	11519	5335.4999105477	19823.25
nucl1235	40	45	45	7511	10366	13272	17120	20498	24116	25233	22803	18809	12595	8427	6698	6686.26361666328	15620.6666666667
assa1263	26.088	91.293	91.293	14459	17075	19447	20983	20104	17496	17160	16952	16590	16723	15660	13950	2110.64765839275	17216.5833333333
assy1241	36.75	43	43	8487	11167	15035	18882	23483	27708	27673	25277	20948	14782	10297	7816	7373.39325435266	17629.5833333333
awng1244	10.982	36.692	36.692	19972	21923	21055	22791	18648	16400	13005	12721	18261	19738	19723	19025	3163.37833892052	18605.1666666667
cent2142	-17	291.5	-68.5	16907	15740	15502	15929	16049	15091	16068	17361	18879	18939	18881	17211	1389.38980229714	16879.75
kara1465	43.565	42.261	42.261	6056	9038	12342	16050	19294	21776	21353	19643	15315	10852	6936	5170	6083.79581658349	13652.0833333333
basq1248	43.28	-1.32	-1.32	5161	8247	12275	16079	18640	20349	20531	18487	14351	9677	6009	4353	6052.17546850016	12846.5833333333
bela1254	53.231	25.604	25.604	2400	4999	9448	13540	18674	20277	19419	16169	10412	5737	2405	1586	7057.67840831187	10422.1666666667
krio1252	-18.135	137.669	137.669	23844	22770	22466	20657	18090	16975	18267	20794	23717	25054	25290	24738	2898.10365897803	21888.5
bhil1251	20.85	73.959	73.959	17749	21047	23548	25341	25317	20259	15673	15783	18173	20025	18666	16988	3386.34947251461	19880.75
biet1238	24.274	92.943	92.943	16259	18665	21258	21543	20508	17440	16711	16183	16411	16790	15961	15084	2215.86381507747	17734.4166666667
bulg1262	43.365	25.047	25.047	5043	7977	11567	16125	19553	21492	21469	19071	14758	10103	5694	4213	6508.5819308049	13088.75
yuec1235	23	113	113	9697	9231	9691	11616	14927	15577	18747	17530	16447	15026	12860	10980	3284.0072377933	13527.4166666667
cham1312	13.438	144.745	144.745	14921	16012	17073	18138	18720	18785	18300	18163	18318	17329	15567	14703	1495.99297873494	17169.0833333333
mand1415	40.021	116.228	116.228	8610	11494	15163	18630	21763	21690	19616	18316	16223	12539	9152	7642	5089.72390452001	15069.8333333333
chot1239	24.372	94.241	94.241	15848	18752	20958	21496	20431	17225	16265	15960	16042	16055	14941	14260	2445.50196092931	17352.75
chuv1255	55.487	47.163	47.163	2064	4836	9586	14283	19496	20809	19634	15267	9391	4677	1993	1322	7403.38670454068	10279.8333333333
czec1258	49.873	15.104	15.104	3040	5724	9285	14518	18144	19306	18694	16350	11312	6857	3287	2284	6510.34038292278	10733.4166666667
dani1285	54.866	9.363	9.363	1890	3974	7560	13069	17631	18187	17705	15137	9513	5297	2406	1359	6604.99116141909	9477.33333333333
dubl1239	21.516	73.218	73.218	18491	21889	23815	25819	25434	20683	16270	16147	18468	20353	19201	17300	3332.5625002664	20322.5
dutc1256	52	5	5	2450	4820	8169	13296	17137	17980	17219	15324	10473	6247	3069	1853	6190.36771500447	9836.41666666667
stan1293	53	-1	-1	2347	4501	8266	12217	16838	17513	16740	14349	10190	5817	2991	1832	5986.63432724781	9466.75
erzy1239	52.855	45.39	45.39	2617	5439	9953	14457	19297	20886	19855	16152	10384	5546	2548	1777	7208.60752482542	10742.5833333333
peno1244	17.067	262.99	-97.01	15712	18338	19336	18031	18621	17602	17618	17470	15504	16199	15719	14554	1477.83953694902	17058.6666666667
west2369	28.659	55.159	55.159	13223	16136	18898	21132	24233	26060	24843	23668	22128	19070	14923	12905	4629.63336708603	19768.25
fiji1243	-18	178.33	178.33	20437	19633	17651	14837	12238	10947	11108	13216	14788	17808	18813	20359	3567.29067360651	15986.25
taga1270	14.06	121.747	121.747	12625	15475	18045	20107	18685	17000	16501	15838	15579	14611	12953	12005	2486.3264004746	15785.3333333333
finn1318	64.763	25.558	25.558	468	2249	6629	12707	17397	19373	18102	12914	7106	2668	671	179	7386.34446995182	8371.91666666667
stan1290	48	2	2	3413	6088	10731	15451	18716	20125	20208	17544	13039	7817	3988	2784	6726.75299671304	11658.6666666667
pula1263	13.869	-13.448	-13.448	18085	20822	22591	24184	22971	20483	19671	18682	19684	19735	18346	16648	2201.399864549	20158.5
scot1245	56.757	-5.244	-5.244	1412	3538	6848	12057	15985	16694	14504	12076	8577	4424	1898	1078	5852.98833477137	8257.58333333333
