glottocode	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clim_PC1	clim_PC2	clim_PC3	longitude_180
abua1244	4.831	6.615	267	80	76	830	323	219	104	255	272	278	255	2689	434	39	59	1110	156	416	1110	4.1441027108978	0.784538374803199	-0.164353199952084	6.615
acol1236	3.577	32.515	249	135	76	1206	350	174	176	235	261	267	235	1218	177	11	54	473	60	103	473	1.5515189898102	-1.69188355429138	-1.76478403222744	32.515
ainu1240	43.634	142.462	60	96	24	10628	255	-140	395	151	-25	191	-78	1115	148	56	33	409	176	339	212	-3.55537669370231	1.48790728348901	0.210932965527392	142.462
alba1267	41	20	143	93	34	6149	290	21	269	79	223	223	66	1045	147	34	39	395	122	122	356	-1.52290572133429	0.42723993572116	-1.25822120930312	20
alge1239	35.421	3.23	149	111	39	5690	307	28	279	91	224	226	80	288	36	5	38	100	33	33	88	-2.29668506393124	-0.953553746979799	-1.94859250254217	3.23
amha1245	11.708	39.543	138	157	74	1355	243	31	212	149	120	154	120	958	285	12	109	618	44	345	44	-0.567160343045502	-1.02062344003246	1.01838725195584	39.543
anga1288	25.684	93.867	222	108	48	4112	301	78	223	264	160	264	160	1616	295	10	76	835	57	835	57	1.0127727106501	-0.817520607822438	1.4630373962189	93.867
mesc1238	33.129	254.434	91	146	46	6258	249	-63	312	163	83	172	11	519	109	13	71	277	63	258	84	-2.80860424550693	-0.615877729474959	-0.0703292967404756	-105.566
stan1318	27.963	43.853	230	149	41	8081	413	51	362	176	324	324	120	187	37	0	81	84	0	0	70	-1.32137408448296	-3.56953387319647	-2.00141948761656	43.853
nucl1235	40	45	50	113	32	7991	231	-112	343	80	-55	149	-55	451	78	21	43	187	68	87	68	-4.44193358426079	0.695607496315091	-0.377660710392544	45
assa1263	26.088	91.293	247	94	46	3857	318	114	204	278	187	286	187	2081	449	8	90	1232	36	843	36	2.18711236149467	-0.885473890716961	2.51292385231591	91.293
assy1241	36.75	43	189	141	35	9144	411	15	396	84	307	307	73	756	146	0	89	409	0	0	381	-1.46409020410533	-2.46082755595231	-1.13479244003168	43
awng1244	10.982	36.692	170	146	70	864	272	66	206	163	165	183	163	1744	395	11	94	1036	52	207	1036	1.20089158218762	0.100351686128806	0.624752703035662	36.692
cent2142	-17	291.5	61	164	66	2384	170	-75	245	84	28	84	26	510	134	3	95	309	15	309	19	-3.06293316731536	-0.153451024059017	0.678944085434162	-68.5
kara1465	43.565	42.261	36	108	36	6457	192	-100	292	96	-43	116	-48	854	137	28	50	368	94	352	97	-3.70624367655468	1.46713036140748	0.540606313871005	42.261
basq1248	43.28	358.68	122	92	40	4892	244	17	227	68	183	185	60	1243	151	63	21	401	239	251	375	-1.38700563174678	1.71178656550978	-1.26928933532964	-1.32
bela1254	53.231	25.604	63	83	26	8416	227	-90	317	168	-39	168	-47	652	83	29	29	235	109	235	119	-3.71063750814274	1.20473512379119	-0.313504612156905	25.604
krio1252	-18.135	137.669	257	131	52	4101	365	116	249	292	197	300	197	597	167	1	111	403	10	263	10	0.441729722999517	-3.23278712347195	-0.283715195174499	137.669
bhil1251	20.85	73.959	241	131	51	3109	365	109	256	243	200	284	200	929	313	0	132	719	2	135	2	0.736513280405666	-3.10162769925039	0.676893898602122	73.959
biet1238	24.274	92.943	223	95	50	3138	294	106	188	252	174	252	174	2255	445	5	77	1164	55	1164	55	2.13498399765089	-0.0684834586747541	2.85284065114835	92.943
bulg1262	43.365	25.047	114	104	30	8224	289	-47	336	199	18	216	4	575	76	37	26	201	114	172	123	-2.89489696454685	0.121728056357705	-0.983991238150338	25.047
yuec1235	23	113	224	78	33	5449	329	98	231	277	167	286	149	1628	255	34	66	756	113	756	126	0.944466921989253	-0.406270873182661	0.830002688884466	113
cham1312	13.438	144.745	269	60	80	463	306	231	75	270	264	273	261	2358	383	71	52	1029	263	554	287	3.89799905518187	0.670081875758265	0.0359098330357867	144.745
mand1415	40.021	116.228	119	115	28	10786	312	-97	409	251	-27	251	-27	655	232	4	140	515	13	515	13	-2.60753725456689	-1.65789482240516	2.21265390097845	116.228
chot1239	24.372	94.241	211	104	47	3576	298	80	218	243	156	243	156	1993	452	9	92	1190	47	972	47	1.60039597169332	-0.416322984274261	2.88887174830113	94.241
chuv1255	55.487	47.163	38	82	20	11423	246	-158	404	181	-98	181	-110	535	72	21	36	199	73	199	85	-4.74474014433144	0.934866720666458	0.0452875710665603	47.163
czec1258	49.873	15.104	74	85	30	6889	222	-55	277	160	-17	160	-17	611	85	29	41	245	92	245	92	-3.30356698914054	0.981094957220507	-0.280774039237807	15.104
