glottocode;daltonism;exists_blue;subsistence;L1;macroarea;longitude;latitude;log_popSize;glottocode_family;macro_family;genetic_incomplete;genetic_full;popsize_wiki;
abua1244;2.13;no;AGR;Abua;Africa;6.615;4.831;10.13;atla1278;Niger-Congo;;Edo;25000;
acol1236;2.61;no;AGR;Acoli;Africa;32.515;3.577;13.97;nilo1247;Nilo-Saharan;;Luhya;2100000;
ainu1240;1.18;no;HG;Ainu (Hokkaido);Eurasia;142.462;43.634;2.3;ainu1252;Ainu;;Hezhe;25000;
alba1267;7.4;yes;AGR;Albanian;Eurasia;20;41;22.84;indo1319;Indo-European;Europeans..Mixed;Europeans..Mixed;7500000;
alge1239;6.56;yes;AGR;Arabic (Algerian);Africa;3.23;35.421;17.07;afro1255;Afro-Asiatic;Arabs;Arabs;42500000;
amha1245;3.2;yes;AGR;Amharic;Africa;39.543;11.708;16.89;afro1255;Afro-Asiatic;;Somali;32000000;
anga1288;0;no;AGR;Angami Naga;Eurasia;93.867;25.684;11.79;sino1245;Sino-Tibetan;Indian..Mixed;Indian..Mixed;152716;
mesc1238;2.5;no;HG;Apache ;North America;254.434;33.129;7.31;atha1245;Na-Dene;Amerindians;Amerindians;1500;
stan1318;5.35;yes;AGR;Arabic (Standard);Eurasia;43.853;27.963;19.14;afro1255;Afro-Asiatic;Arabs;Arabs;280000000;
nucl1235;5.43;yes;AGR;Armenian (Eastern);Eurasia;45;40;14.96;indo1319;Indo-European;;Turks;6000000;
assa1263;1.41;yes;AGR;Assamese;Eurasia;91.293;26.088;16.37;indo1319;Indo-European;Kachari;Kachari;15311351;
assy1241;6;yes;AGR;Neo-Aramaic (Assyrian);Eurasia;43;36.75;10.31;afro1255;Afro-Asiatic;;Iraqi;240000;
awng1244;3.03;no;AGR;Agaw;Africa;36.692;10.982;13.1;afro1255;Afro-Asiatic;;Somali;490000;
cent2142;5.66;yes;AGR;Aymara (Central);South America;291.5;-17;14.56;ayma1253;Aymaran;Peruvian;Peruvian;2262900;
kara1465;4.2;yes;AGR;Karachay-Balkar;Eurasia;42.261;43.565;12.63;turk1311;Altaic;;Khanty;310000;
basq1248;4.3;yes;AGR;Basque;Eurasia;-1.32;43.28;19.52;basq1248;Basque;Basque;Basque;750000;
bela1254;8.7;yes;AGR;Belarusian;Eurasia;25.604;53.231;15.72;indo1319;Indo-European;Russians;Russians;5100000;
krio1252;2.33;yes;AGR;Kriol;Australia;137.669;-18.135;8.34;indo1319;Indo-European;Afro.Caribbeans;Afro.Caribbeans;4200;
bhil1251;0.7;no;AGR;Bhili;Eurasia;73.959;20.85;15.01;indo1319;Indo-European;Indian..Mixed;Indian..Mixed;3206533;
biet1238;4.94;no;AGR;Biete;Eurasia;92.943;24.274;9.85;sino1245;Sino-Tibetan;Indian..Mixed;Indian..Mixed;35000;
bulg1262;6.45;yes;AGR;Bulgarian;Eurasia;25.047;43.365;15.55;indo1319;Indo-European;Europeans..Mixed;Europeans..Mixed;8000000;
yuec1235;4;yes;AGR;Cantonese;Eurasia;113;23;17.77;sino1245;Sino-Tibetan;Han;Han;84000000;
cham1312;3.25;no;AGR;Chamorros;Papunesia;144.745;13.438;11.04;aust1307;Austronesian;Micronesians;Micronesians;58000;
mand1415;5.66;yes;AGR;Mandarin Chinese;Eurasia;116.228;40.021;20.55;sino1245;Sino-Tibetan;Han;Han;920000000;
chot1239;6.5;no;AGR;Chothe;Eurasia;94.241;24.372;8.19;sino1245;Sino-Tibetan;Indian..Mixed;Indian..Mixed;3600;
chuv1255;5.16;yes;AGR;Chuvash;Eurasia;47.163;55.487;13.86;turk1311;Altaic;Chuvash;Chuvash;1042989;
czec1258;10.5;yes;AGR;Czech;Eurasia;15.104;49.873;16.04;indo1319;Indo-European;Europeans..Mixed;Europeans..Mixed;10700000;
dani1285;6.36;yes;AGR;Danish;Eurasia;9.363;54.866;15.51;indo1319;Indo-European;Danes;Danes;6000000;
dubl1239;2.75;no;AGR;Dubli;Eurasia;73.218;21.516;12.44;indo1319;Indo-European;Indian..Mixed;Indian..Mixed;250000;
dutc1256;4.95;yes;AGR;Dutch;Eurasia;5;52;16.61;indo1319;Indo-European;Europeans..Mixed;Europeans..Mixed;25000000;
stan1293;5.09;yes;AGR;English;Eurasia;-1;53;17.88;indo1319;Indo-European;British;British;380000000;
erzy1239;7.77;yes;AGR;Erzya;Eurasia;45.39;52.855;12.98;ural1272;Uralic;;Chuvash;36726;
peno1244;7.04;no;AGR;Pe??oles Mixtec;North America;262.99;17.067;8.61;otom1299;Oto-Manguean;Mexicans;Mexicans;2000;
west2369;2.63;yes;AGR;Farsi (Western);Eurasia;55.159;28.659;17.62;indo1319;Indo-European;Iranian;Iranian;55600000;
fiji1243;0.4;no;AGR;Fijian;Papunesia;178.33;-18;12.71;aust1307;Austronesian;Micronesians;Micronesians;339210;
taga1270;4.28;yes;AGR;Tagalog;Papunesia;121.747;14.06;16.88;aust1307;Austronesian;Micronesians;Micronesians;23853200;
finn1318;8.21;yes;AGR;Finnish;Eurasia;25.558;64.763;15.36;ural1272;Uralic;Finns;Finns;5800000;
stan1290;6.8;yes;AGR;French;Eurasia;2;48;17.8;indo1319;Indo-European;French;French;76800000;
pula1263;1.3;no;AGR;Pulaar;Africa;-13.448;13.869;14.82;atla1278;Niger-Congo;;Hausa;4450000;
scot1245;6.58;yes;AGR;Gaelic (Scottish);Eurasia;-5.244;56.757;10.98;indo1319;Indo-European;Orcadian;Orcadian;57000;
gami1242;2.72;no;AGR;Gamit;Eurasia;73.684;21.07;12.56;indo1319;Indo-European;Indian..Mixed;Indian..Mixed;237604;
stan1295;6.37;yes;AGR;German;Eurasia;12.468;48.649;18.14;indo1319;Indo-European;Germans;Germans;95000000;
pare1266;1.33;no;AGR;Gorum-Parenga;Eurasia;83.972;19.075;0;aust1305;Austro-Asiatic;Thoti;Thoti;20;
mode1248;5.75;yes;AGR;Greek (Modern);Eurasia;24.87;42.322;16.19;indo1319;Indo-European;Greeks;Greeks;13400000;
guja1252;5.08;yes;AGR;Gujarati;Eurasia;71.096;22.687;17.64;indo1319;Indo-European;Gujarati;Gujarati;56000000;
gusi1247;0;no;AGR;Gusii;Africa;34.768;-0.789;14.61;atla1278;Niger-Congo;Bantu.speakers;Bantu.speakers;2200000;
hadz1240;1.42;no;HG;Hadza;Africa;35.05;-3.83;9.97;hadz1240;Hadza;;Sandawe;1000;
hakk1236;5.58;yes;AGR;Hakka Chinese;Eurasia;116;25;17.06;sino1245;Sino-Tibetan;Hakka;Hakka;47800000;
haus1257;1.76;no;AGR;Hausa;Africa;8.78;11.151;16.73;afro1255;Afro-Asiatic;Hausa;Hausa;50000000;
hind1269;3.72;yes;AGR;Hindi;Eurasia;77;25;19.37;indo1319;Indo-European;Indian..Mixed;Indian..Mixed;322000000;
hung1274;3.82;yes;AGR;Hungarian;Eurasia;19.656;46.907;16.07;ural1272;Uralic;Hungarian;Hungarian;13000000;
kala1399;5.41;no;HG;Inuktitut (Kalaallisut);Eurasia;307.136;69.376;10.82;eski1264;Eskimo-Aleut;Greenlander;Greenlander;56000;
nort2945;1.11;yes;HG;Eskimo (Inupiaq);North America;198.193;64.78;8.63;eski1264;Eskimo-Aleut;;Hezhe;2420;
ital1282;3.82;yes;AGR;Italian;Eurasia;12.649;43.046;17.82;indo1319;Indo-European;Italians;Italians;67000000;
teso1249;4.87;yes;AGR;Teso;Africa;33.939;1.183;14.27;nilo1247;Nilo-Saharan;;Luhya;1900000;
nucl1643;4.3;yes;AGR;Japanese;Eurasia;135;35;18.61;japo1237;Japanese;Japanese;Japanese;128000000;
hebr1245;6.68;yes;AGR;Hebrew (Modern);Eurasia;35.018;31.106;15.39;afro1255;Afro-Asiatic;Jews..Ashkenazi;Jews..Ashkenazi;5000000;
jola1263;2.11;yes;AGR;Jola-Fonyi;Africa;-15.735;12.758;12.74;atla1278;Niger-Congo;;Malinke;410000;
kaba1278;3.5;no;AGR;Kabardian;Eurasia;43.392;43.508;13.15;abkh1242;Abkhaz-Adyge;Adygei;Adygei;590000;
kaya1330;0.28;no;HG;Kayap??;South America;308.326;-7.774;8.87;nucl1710;Nuclear-Macro-Je;;Karitiana;8638;
dhan1264;1.8;no;AGR;Dhanki;Eurasia;73.742;20.772;11.84;indo1319;Indo-European;Indian..Mixed;Indian..Mixed;150674;
chig1238;3.9;yes;AGR;Chiga;Africa;29.912;-1.044;14.27;atla1278;Niger-Congo;;Luhya;1600000;
kiku1240;0.28;no;AGR;Kikuyu;Africa;36.719;-0.29;15.71;atla1278;Niger-Congo;Bantu.speakers;Bantu.speakers;6600000;
kili1267;1.61;no;AGR;Kilivila;Papunesia;151.072;-8.726;9.9;aust1307;Austronesian;Papuan.New.Guinean;Papuan.New.Guinean;20000;
