name	glottocde	comments
Achang_Lianghe_Burmish	lian1258	
Achang_Longchuan_Burmish	acha1249	
Achang_Luxi_Burmish	luxi1238	
Achang_Xiandao_Burmish	xian1249	
Angami_Kohima_Naga	kohi1249	
Anong_Nungish	nung1293	
Ao_Chungli_Naga	chon1286	
Ao_Mongsen_Naga	mong1332	
Apatani_Tani	apat1240	
Atong_Sal	aton1242	
Atsi_Zaiwa_Burmish	zaiw1241	
Bengni_Tani	bang1338	
Bodo_Sal	bodo1280	
Bokar_Lhoba_Tani	boka1249	
Bola_Luxi_Burmish		
Burmese_Spoken_Rangoon_Burmese	nucl1310	
Caodeng_rGyalrongic	tsho1240	
Chang_Sal		
Chepang_Himalayan	chep1245	
Chinese_Mandarin_Chinese	mand1415	
Chinese_Old_Chinese	oldc1244	
Cuona_Mama_Bodish		
Cuona_Menba_Bodish		
Daai_KukiChin	daai1236	
Daofu_rGyalrongic	daof1238	
Darang_Taraon_Diagarish		
Dimasa_Sal	dima1251	
Ergong_Danba_rGyalrongic		
Ersu_Ersuish	ersu1241	
Garo_Sal	garo1247	
Gurung_Ghachok_TG	guru1261	
Hani_Caiyuan_Ngwi	hani1248	
Hani_Dazhai_Ngwi	dazh1234	
Hani_Gelanghe_Ngwi	hani1248	
Hani_Luchun_Ngwi	hani1248	
Hani_Mojiang_Ngwi	hani1248	
Hani_Shuikui_Ngwi	hani1248	
Hayu_Kiranti		
Idu_Diagarish		
Jingpho_Sal	jing1260	
Jinuo_Youle_Ngwi	youl1235	
Kanauri_Kinauri		
Karen_Karenic	kare1337	
Kayan_Pekon_Karenic	aya1315	
Khaling_Kiranti	khal1275	
Khumi_KukiChin	khum1248	
Konyak_Sal	kony1246	
Lahu_Lancang_Ngwi_Lahu	lahu1253	
Lahu_Yellow_Ngwi_Lahu	lahu1253	
Langsu_Luxi_Burmish	luxi1239	
Leqi_Luxi_Burmish	leqi1234	
Liangmei_Naga		
Limbu_Kiranti	limb1266	
Lisu_Central_Ngwi	hual1240	
Lisu_Northern_Ngwi	nort3298	
Lotha_Naga_Naga	loth1237	
Lyuzu_Ersuish	lizu1234	
Magar_Himalayan	maga1261	
Manang_Gyaru_TG		
Manang_Prakaa_TG	prak1243	
Marma_Burmese	marm1234	
Matu_KukiChin	matu1256	
Mpi_Ngwi	mpii1239	
Muya_Minyak_Qiangic	muya1239	
Namuyi_Naic	namu1246	
Naxi_Lijiang_Naic	lich1241	
Naxi_Yongning_Naic	naxi1245	
Ngmuun_KukiChin	munc1235	
Nusu_Central_Nusu	cent2003	
Nusu_Northern_Nusu	nort2719	
Nusu_Southern_Nusu	sout2724	
Pa_O_Karenic	paok1235	
Pattani_Kinauri	patt1248	
Phom_Sal	phom1236	
Pumi_Qinghua_Qiangic_Pumi	qing1238	
Pumi_Taoba_Qiangic_Pumi	taob1238	
Qiang_Longxi_Qiangic	long1374	
Qiang_Mawo_Qiangic		
Queyu_Yajiang_Qiangic	quey1238	
Rongmei_Naga	rong1266	
Sak_Sal	sakm1234	
Sangtam_Naga	sang1321	
Sema_Sumi_Naga	sumi1235	
Sunwar_Kiranti	sunw1242	
Tamang_TG	tama1367	
Tangkhul_Tangkhulic	sino1246	
Thado_KukiChin	thad1238	
Thakali_TG	thak1245	
Thulung_Kiranti	thul1246	
Tibetan_Amdo_Blabrang_Tibetan	amdo1237	
Tibetan_Amdo_Zeku_Tibetan	amdo1237	
Tibetan_Batang_Tibetan	bath1249	
Tibetan_Jirel_Tibetan	jire1238	
Tibetan_Khams_Tibetan	kham1282	
Tibetan_Lhasa_Tibetan	utsa1239	
Tibetan_Xiahe_Tibetan	amdo1237	
Tiddim_KukiChin	tedi1235	
Trung_Dulong_Nungish	dulo1243	
Trung_Nujiang_Nungish		
Xumi_Naic	shix1238	
Yi_Dafang_Ngwi	dafa1241	
Yi_Mile_Ngwi		
Yi_Mojiang_Ngwi	sout2723	
Yi_Nanjian_Ngwi		
Yi_Sani_Ngwi	sani1269	
Yi_Weishan_Ngwi		
Yi_Wuding_Ngwi	wudi1238	
Zeme_Naga	zeme1240	
rGyalrong_Maerkang_rGyalrongic	maer1238	
