glottocode;language;exists_blue;References;;;;;;
here1252;Herero;no;"Historically, Himbas had no specific term for the colour blue (@oberson_development_2004); they acquired one very recently due to language contact with English (@mylonas_augmenting_2022).";;;;;;
sgaw1245;Sgaw Karen ;yes;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
nucl1310;Burmese;yes;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
cent1989;Khmer;yes;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
monn1252;Mon;yes;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
viet1252;Vietnamese;no;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
mlab1235;Mlabri;no;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
laoo1244;Lao;yes;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
thai1261;Central Thai;yes;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
shan1277;Shan;yes;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr); see file PersonalCommunication_KarlSeifen.pdf for more information";;;;;;
soca1235;Swo (Cameroon);no;"Personal Communication from PhD student Tessa Vermeir, specialist in Swo language; contact (t.vermeir@univ-lyon2.fr)";;;;;;
halh1238;Halh Mongolian;yes;"Personal Communication from PhD student Rigele Na, specialist in Solon Evenki language; contact (rigele.na@univ-lyon2.fr); see file PersonalCommunication_RigeleNa.pdf for more information";;;;;;
solo1263;Tungusic;yes;"Personal Communication from PhD student Rigele Na, specialist in Solon Evenki language; contact (rigele.na@univ-lyon2.fr); see file PersonalCommunication_RigeleNa.pdf for more information";;;;;;
blackhmong;Black Hmong;no;"Personal Communication from PhD student Lea Mouton, specialist in black hmong: glottocode to be soon created; contact (Lea.Mouton@univ-lyon2.fr)";;;;;;
ngal1292;Ngalkbun;no;@evans_first_2004;;;;;;
alya1239;Alyawarr;no;@green_alyawarr_1992;;;;;;
remb1249;Rembarrnga;no;@saulwick_first_2003;;;;;;
gami1243;Yuwaalaraay-Gamilaraay;yes;@lissarrague_gamilaraay_2003;;;;;;s
kayt1238;Kaytetye;yes;@turpin_kaytetye_2012;;;;;;
pint1250;Pintupi-Luritja;no;@hansen_pintupiluritja_1992;;;;;;
guda1242;Wambaya-Gudanji;no;@nordlinger_elementary_1998;;;;;;
wikm1247;Wik-Mungkan;no;@kilham_dictionary_1986;;;;;;
yuul1239;Yuulngu;no;@zorc_yolu-matha_nodate;;;;;;
adny1235;Adnyamathanha;no;@mcentee_adna-mat-na_1992;;;;;;
alaw1244;Alawa;yes;@sharpe_alawa_2001;;;;;;
badi1246;Badimaya;no;@marmion_badimaya_1995;;;;;;
bard1255;Bardi;no;@aklif_ardiyooloon_1999;;;;;;
bayu1240;Bayungu;no;@austin_payungu_nodate;;;;;;
bili1250;Bilinarra;no;@meakins_bilinarra_2013;;;;;;
buna1275;Bunaba;no;@kimberley_language_resource_centre_bunuba_2010;;;;;;
bura1267;Burarra;no;@glasgow_burarra-gun-nartpa_1994;;;;;;
burd1238;Burduna;no;@burgman_burduna_2007;;;;;;
darl1243;Paakantyi;no;@hercus_paakantyi_nodate;;;;;;
dhal1245;Dhalandji;no;@austin_dictionary_nodate-2;;;;;;
dhan1270;Dhangu;no;@zorc_yolngu_2004;;;;;;
dhar1247;Dhargari;no;@austin_dictionary_1992-1;;;;;;
djau1244;Jawoyn;no;@merlan_jawoyn-english_2005;;;;;;
djin1253;Djinang;no;@waters_djinang_1998;;;;;;
djiw1241;Djiwarli;no;@austin_dictionary_nodate-1;;;;;;
dyaa1242;Dyaabugay;no;@robertson_jaabugay_1997;;;;;;
erre1238;Erre;no;@birch_first_2006;;;;;;
gami1243;Yuwaalaraay-Gamilaraay;no;@ash_gamilaraay_2003;;;;;;
gupa1247;Gupapuyngu;no;@lowe_temporary_1976;;;;;;
gura1252;Guragone;no;@green_gurr-goni_2015;;;;;;
gurd1238;Gurdjar;no;@black_kurtjar_1988;;;;;;
guri1247;Gurindji;no;@meakins_gurindji_2013;;;;;;
iwai1244;Iwaidja;no;@pym_iwaidja-english_2011;;;;;;
kara1476;Karadjeri;no;@mckelson_studies_1989;;;;;;
kuka1246;Kukatja;yes;@peile_basic_nodate;;;;;;
kuku1273;Kuku-Yalanji;no;@hershberger_kuku-yalanji_1986;;;;;;
lara1258;Laragia;no;@harvey_larrakia_2004;;;;;;
lard1243;Lardil;no;@hale_lardil_1997;;;;;;
mang1382;Mangerr;no;@birch_first_2006;;;;;;
mara1385;Marra;no;@heath_basic_1981;;;;;;
maun1240;Mawng;no;@singer_mawng_2015;;;;;;
muru1266;Muruwari;yes;@oates_muruwari_1992;;;;;;
naka1260;Nakara;no;@eather_first_2005;;;;;;
ngad1258;Ngadjunmaya;yes;@wangka_maya_pilbara_aboriginal_language_centre_ngajumaya_2008;;;;;;
ngan1295;Ngandi;no;@heath_ngandi_1978;;;;;;
ngar1284;Ngarinyin;yes;@coate_ngarinjin-english_1974;;;;;;
ngar1296;Ngarla;no;@brown_ngarla-english_nodate;;;;;;
nugu1241;Nugunu (Australia);no;@hercus_nukunu_1992;;;;;;
nyam1271;Nyamal;no;@burgman_nyamal_2007;;;;;;
nyan1301;Nyangumarta;no;@geytenbeek_nyangumarta-english_1991;;;;;;
pini1245;Lake Carnegie Western Desert;no;@blyth_wangka_2001;;;;;;
thay1249;Thayore;yes;@foote_kuuk_1993;;;;;;
tiwi1244;Tiwi;no;@lee_tiwi-english_2013;;;;;;
urni1239;Urningangg;no;@birch_first_2006;;;;;;
wadj1254;Wadjiginy;no;@ford_batjamalh:_1997;;;;;;
wage1238;Wageman;no;@wilson_wagiman_2001;;;;;;
waja1257;Wajarri;no;@mackman_wajarri_2012;;;;;;
walm1241;Walmajarri;no;@hudson_walmajarri_1993;;;;;;
wand1263;Wandarang;no;@heath_basic_1980-1;;;;;;
wany1247;Wanyi;yes;@laughren_waanyi_2016;;;;;;
wari1262;Wariyangga;no;@austin_dictionary_nodate-3;;;;;;
warl1254;Warlpiri;yes;@schwartz_walpiri_1996;;;;;;
wemb1241;Wemba Wemba;yes;@hercus_wembawemba_1992;;;;;;
wikn1245;Wik-Ngathana;no;@sutton_wik-ngathan_1995;;;;;;
wong1246;Wangkumara;no;@robertson_wangkumara_1985;;;;;;
yann1237;Nhangu;no;@james_yan-nhangu_2003;;;;;;
yany1243;Yanyuwa;no;@bradley_yanyuwa_nodate;;;;;;
yayg1236;Yaygir;no;@morelli_yaygirr_2012;;;;;;
yind1247;Yinggarda;no;@anderson_yindjibarndi_nodate;;;;;;
yinh1234;Yinhawangka;no;@wangka_maya_pilbara_aboriginal_language_centre_yinhawangka_2008;;;;;;
yiry1245;Yir-Yoront;no;@alpher_yir-yoront_1991;;;;;;
yuwa1242;Yuwaalaraay;no;@ash_gamilaraay_2003;;;;;;
yuwa1243;Yuwaalayaay;no;@ash_gamilaraay_2003;;;;;;
