glottocode;subs_autotyp;subs_tom;d_place
aari1239;NA;no;NA
abar1238;NA;no;NA
abau1245;no;yes;NA
abid1235;NA;no;NA
abip1241;yes;yes;NA
abis1238;NA;yes;NA
abkh1244;no;no;NA
abua1244;NA;no;NA
abur1243;NA;no;NA
acat1239;NA;no;NA
acha1249;NA;no;NA
acha1250;NA;no;NA
ache1245;NA;no;NA
ache1246;yes;yes;NA
achi1257;NA;no;NA
achu1247;yes;yes;NA
achu1248;NA;no;NA
acol1236;NA;no;NA
adam1253;no;no;NA
adan1247;NA;no;NA
adan1251;NA;no;NA
adio1239;NA;no;NA
adny1235;yes;yes;NA
adyg1241;NA;no;NA
adze1240;NA;no;NA
afad1236;NA;no;NA
afar1241;NA;no;NA
afit1238;NA;no;NA
aghe1239;NA;no;NA
aghu1254;NA;yes;NA
agua1253;NA;no;NA
ahan1243;NA;no;NA
ahan1244;NA;no;NA
aheu1239;NA;no;NA
ahte1237;yes;yes;NA
aika1237;no;yes;NA
ainu1240;yes;yes;NA
ajab1235;NA;no;NA
ajas1235;NA;no;NA
ajyi1238;NA;no;NA
akan1250;NA;no;NA
akas1242;NA;no;NA
akaw1239;no;yes;NA
akha1245;NA;no;NA
akla1241;NA;no;NA
akoo1248;NA;no;NA
akpe1248;NA;no;NA
akun1241;NA;no;NA
akur1238;NA;yes;NA
alab1237;NA;no;NA
alab1254;NA;no;NA
alam1246;yes;yes;NA
alaw1244;yes;yes;NA
aleu1260;yes;yes;NA
alla1248;NA;no;NA
alng1239;NA;yes;NA
alut1245;yes;yes;NA
alya1239;yes;yes;NA
amah1246;NA;no;NA
aman1265;NA;no;NA
amar1271;NA;yes;NA
amar1274;no;yes;NA
amas1236;NA;no;NA
ambe1247;NA;no;NA
ambo1250;NA;no;NA
ambu1247;no;yes;NA
amel1241;NA;no;NA
amha1245;NA;no;NA
amii1238;NA;yes;NA
amoo1242;NA;no;NA
amun1246;NA;no;NA
ande1247;NA;yes;NA
andi1255;NA;no;NA
ando1255;NA;yes;NA
ando1256;no;yes;NA
anei1239;NA;no;NA
anfi1235;NA;no;NA
anga1288;NA;no;NA
anga1290;NA;no;NA
ango1258;NA;no;NA
anii1245;NA;no;NA
anin1240;yes;yes;NA
anta1253;NA;yes;NA
anti1245;NA;no;NA
anua1242;NA;no;NA
anuf1239;NA;no;NA
anyi1244;NA;no;NA
anyi1245;NA;no;NA
aona1235;NA;no;NA
apal1257;NA;no;NA
apat1240;NA;no;NA
apia1248;NA;no;NA
apin1244;no;no;NA
apro1235;NA;no;NA
apuc1241;yes;yes;NA
apur1254;NA;no;NA
arab1267;yes;yes;NA
arab1268;no;yes;NA
arag1245;NA;no;NA
aran1237;no;yes;NA
arao1248;yes;yes;NA
araw1273;NA;no;NA
araw1276;NA;no;NA
arbe1236;NA;no;NA
arbo1245;NA;no;NA
arch1244;NA;no;NA
argo1244;NA;no;NA
arhu1242;NA;no;NA
arik1265;NA;yes;NA
arin1244;NA;no;NA
arit1239;NA;yes;NA
asha1243;NA;no;NA
ashe1269;NA;no;NA
ashe1272;NA;no;NA
assa1263;NA;no;NA
astu1245;NA;no;NA
atam1239;NA;yes;NA
atay1247;NA;no;NA
atti1239;NA;no;NA
auuu1241;no;yes;NA
avac1239;NA;no;NA
avar1256;NA;no;NA
avat1244;NA;no;NA
avik1243;NA;no;NA
avok1242;NA;no;NA
awab1243;NA;yes;NA
awac1239;NA;no;NA
awad1243;NA;no;NA
awar1248;NA;no;NA
awet1244;NA;no;NA
awin1248;NA;no;NA
awiy1238;NA;no;NA
awng1244;NA;no;NA
awtu1239;no;yes;NA
awut1241;NA;no;NA
axiy1235;NA;no;NA
ayab1239;NA;yes;NA
ayac1239;NA;no;NA
ayer1245;NA;no;NA
ayor1240;no;yes;NA
baan1242;NA;no;NA
baat1238;NA;no;NA
baba1264;NA;no;NA
baba1266;NA;no;NA
bada1257;NA;no;NA
bade1248;NA;no;NA
badi1246;yes;yes;NA
bady1239;NA;no;NA
bafa1247;NA;no;NA
bafa1249;NA;no;NA
