glottocode;language;subsistence;reference
here1252;Herero;AGR;@mylonas_augmenting_2022
sgaw1245;Sgaw Karen ;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
nucl1310;Burmese;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
cent1989;Khmer;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
monn1252;Mon;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
viet1252;Vietnamese;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
mlab1235;Mlabri;HG;@wnuk_semantic_2016
laoo1244;Lao;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
thai1261;Central Thai;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
shan1277;Shan;AGR;"Personal Communication from PhD student Karl Seifen, specialist in typology and description of Tai-Kadai languages; contact (karl.seifen@univ-lyon2.fr);"
soca1235;Swo (Cameroon);AGR;"Personal Communication from PhD student Tessa Vermeir, specialist in Swo language; contact (t.vermeir@univ-lyon2.fr)"
halh1238;Halh Mongolian;AGR;"Personal Communication from PhD student Rigele Na, specialist in Solon Evenki language; contact (rigele.na@univ-lyon2.fr)"
solo1263;Tungusic;AGR;"Personal Communication from PhD student Rigele Na, specialist in Solon Evenki language; contact (rigele.na@univ-lyon2.fr)"
blackhmong;Black Hmong;AGR;"Personal Communication from PhD student Lea Mouton, specialist in black hmong: glottocode to be soon created; contact (Lea.Mouton@univ-lyon2.fr)"
ngal1292;Ngalkbun;HG;"(@layton_cultural_1985; @noauthor_dalabon_people_nodate)"
alya1239;Alyawarr;HG;Binford Hunter-Gatherer Dataset (@kirby_d-place_2016)
remb1249;Rembarrnga;HG;Languages of hunter-gatherers and their neighbors (@bowern_languages_nodate)
gami1243;Yuwaalaraay-Gamilaraay;AGR;"Wikipedia (@noauthor_yuwaalaraay_nodate); (@tindale_aboriginal_1974)"
kayt1238;Kaytetye;HG;@turpin_edible_2017
pint1250;Pintupi-Luritja;HG;Binford Hunter-Gatherer Dataset (@kirby_d-place_2016)
guda1242;Wambaya-Gudanji;HG;@nordlinger_grammar_1998
wikm1247;Wik-Mungkan;HG;Binford Hunter-Gatherer Dataset (@kirby_d-place_2016)
yuul1239;Yuulngu;HG;@noauthor_yolngu_2022
